"id","status_group","latitude","longitude","region","management","quantity"
23493,"non-functional",-3.31692565,36.68382424,"Arusha","vwc","enough"
62877,"non-functional",-2.34320299,35.92177008,"Arusha","vwc","insufficient"
29679,"functional",-2.4883906,35.8953878,"Arusha","vwc","insufficient"
34021,"functional",-2.49371181,35.89547951,"Arusha","vwc","insufficient"
18596,"functional",-2.49356927,35.89543264,"Arusha","vwc","insufficient"
26336,"functional",-2.49748448,35.88699706,"Arusha","parastatal","seasonal"
14996,"functional",-2.49744517,35.8857574,"Arusha","parastatal","seasonal"
69885,"functional",-2.62755188,36.00477251,"Arusha","parastatal","seasonal"
12746,"functional",-2.62730992,36.00468151,"Arusha","parastatal","seasonal"
73595,"functional",-2.62772798,36.00523949,"Arusha","parastatal","seasonal"
48862,"non-functional",-2.30895339,35.93976382,"Arusha","vwc","insufficient"
52823,"functional",-2.62764587,36.00535576,"Arusha","parastatal","seasonal"
20130,"non-functional",-2.60260618,35.87484512,"Arusha","parastatal","insufficient"
70131,"non-functional",-2.60837629,35.87628013,"Arusha","private operator","insufficient"
61749,"functional",-2.63163848,35.88554225,"Arusha","vwc","enough"
25912,"functional-needs-repair",-3.00261659,36.01293837,"Arusha","vwc","enough"
39408,"non-functional",-2.99927213,36.00384647,"Arusha","vwc","enough"
39511,"non-functional",-2.99410272,35.99738009,"Arusha","vwc","enough"
25976,"non-functional",-2.99434469,35.9858385,"Arusha","vwc","enough"
46717,"functional-needs-repair",-2.99280459,35.98092166,"Arusha","vwc","enough"
14233,"non-functional",-3.56311094,36.9607163,"Arusha","vwc","insufficient"
15622,"functional",-3.55703413,36.93165941,"Arusha","vwc","insufficient"
72892,"non-functional",-3.56347971,36.94261199,"Arusha","vwc","insufficient"
71577,"non-functional",-3.56505716,36.95348233,"Arusha","wua","insufficient"
1489,"non-functional",-2.99408026,35.96088678,"Arusha","vwc","enough"
19167,"functional",-3.50725022,36.95946919,"Arusha","wua","enough"
41959,"functional",-3.52699994,36.95004511,"Arusha","vwc","enough"
72189,"functional",-3.53266886,36.95071406,"Arusha","wua","enough"
9741,"non-functional",-3.56338515,36.92672133,"Arusha","vwc","insufficient"
49862,"non-functional",-3.55049322,36.91578552,"Arusha","vwc","insufficient"
5052,"functional",-3.51632462,36.95542975,"Arusha","vwc","enough"
23317,"functional",-3.52228991,36.95163462,"Arusha","vwc","enough"
27991,"non-functional",-3.55972217,36.91849423,"Arusha","vwc","insufficient"
39921,"functional",-3.5225729,36.95105291,"Arusha","wua","enough"
27874,"non-functional",-3.547789,36.91198931,"Arusha","vwc","insufficient"
15147,"functional",-3.37509836,37.01960784,"Arusha","vwc","enough"
48911,"functional",-3.56598322,36.95387064,"Arusha","wua","insufficient"
30155,"non-functional",-3.54314685,36.91782006,"Arusha","wua","insufficient"
28362,"functional",-3.36806199,37.06100361,"Arusha","private operator","enough"
20777,"non-functional",-2.99499639,35.96096069,"Arusha","vwc","enough"
71297,"functional",-3.57168304,36.91359225,"Arusha","vwc","enough"
14899,"non-functional",-3.56285364,36.90242383,"Arusha","vwc","enough"
4757,"functional",-3.54270627,36.91793518,"Arusha","wua","insufficient"
35389,"functional",-3.54457265,36.91679868,"Arusha","wua","insufficient"
58299,"functional",-3.54266847,36.91809775,"Arusha","wua","insufficient"
45614,"functional",-3.56195843,36.89784005,"Arusha","wua","insufficient"
53228,"functional",-3.37590291,37.02633668,"Arusha","vwc","enough"
3556,"functional",-3.3704646,37.03445092,"Arusha","private operator","enough"
31539,"non-functional",-3.57419037,36.83424999,"Arusha","vwc","enough"
54889,"functional",-3.36513345,37.03613456,"Arusha","vwc","insufficient"
36570,"functional",-3.51450628,36.91915544,"Arusha","vwc","enough"
51605,"non-functional",-3.52256024,36.88257804,"Arusha","vwc","insufficient"
3475,"non-functional",-3.55843426,36.83862466,"Arusha","vwc","enough"
40943,"functional",-3.56209228,36.83917387,"Arusha","vwc","enough"
39208,"functional",-3.36498216,37.03645904,"Arusha","wua","insufficient"
15451,"functional",-3.56194284,36.89746683,"Arusha","wua","insufficient"
49804,"functional",-3.52398029,36.88329616,"Arusha","wua","insufficient"
28545,"non-functional",-3.55872045,36.8380614,"Arusha","vwc","enough"
16863,"non-functional",-3.56160862,36.83877812,"Arusha","vwc","enough"
35141,"functional",-3.60523108,36.84205747,"Arusha","vwc","enough"
8428,"non-functional",-3.52201154,36.88191796,"Arusha","wua","insufficient"
56947,"non-functional",-3.37195679,37.01719069,"Arusha","vwc","enough"
16956,"functional",-3.52420315,36.88306957,"Arusha","wua","insufficient"
61480,"functional",-3.39420416,35.85244206,"Arusha","wua","enough"
50656,"functional",-3.61421423,36.83937639,"Arusha","vwc","enough"
53000,"functional",-3.60593518,36.84136848,"Arusha","vwc","enough"
26924,"non-functional",-3.57405026,36.83426413,"Arusha","vwc","enough"
5248,"non-functional",-3.35981935,37.03022761,"Arusha","vwc","enough"
73531,"functional",-3.02943445,36.28338747,"Arusha","vwc","insufficient"
66621,"non-functional",-3.5261183,36.88546212,"Arusha","vwc","insufficient"
60420,"functional",-3.51627549,36.858518,"Arusha","vwc","insufficient"
47478,"non-functional",-3.36014206,37.030306,"Arusha","vwc","insufficient"
46605,"functional",-3.38412354,35.85466106,"Arusha","parastatal","enough"
67263,"functional",-3.5149019,36.85623612,"Arusha","vwc","insufficient"
72091,"non-functional",-3.51558723,36.85259665,"Arusha","vwc","insufficient"
60406,"functional-needs-repair",-3.3572318,37.0325293,"Arusha","wua","insufficient"
45132,"non-functional",-3.49338156,36.85079068,"Arusha","vwc","insufficient"
51769,"functional",-3.37502114,37.00913345,"Arusha","vwc","enough"
42819,"functional",-3.49295127,36.85107314,"Arusha","vwc","insufficient"
26896,"non-functional",-3.58588696,36.83390719,"Arusha","vwc","enough"
6850,"non-functional",-3.38368329,35.85663545,"Arusha","wua","enough"
43488,"non-functional",-3.51336448,36.85387871,"Arusha","vwc","insufficient"
43002,"functional",-3.48976689,36.8477523,"Arusha","vwc","insufficient"
4638,"functional",-3.54259598,36.84118035,"Arusha","vwc","enough"
26624,"non-functional",-3.35211461,37.02850767,"Arusha","vwc","insufficient"
55206,"functional",-3.49635363,36.85380386,"Arusha","vwc","insufficient"
60562,"functional",-3.49379453,36.84433338,"Arusha","vwc","insufficient"
71363,"non-functional",-3.52941703,36.835732,"Arusha","vwc","insufficient"
61326,"non-functional",-3.52710161,36.83220067,"Arusha","parastatal","seasonal"
66872,"non-functional",-3.43310142,36.97224634,"Arusha","wua","seasonal"
26209,"functional",-3.49534705,36.82635593,"Arusha","vwc","insufficient"
42678,"functional",-3.49728541,36.85574827,"Arusha","vwc","insufficient"
57380,"functional",-3.51151314,36.84405689,"Arusha","vwc","enough"
8705,"functional",-3.35240049,35.8512807,"Arusha","wua","enough"
47279,"functional",-3.38720814,35.85715355,"Arusha","wua","enough"
8477,"non-functional",-3.51534839,36.85548963,"Arusha","vwc","insufficient"
18194,"non-functional",-3.49070415,36.85025249,"Arusha","vwc","insufficient"
7125,"non-functional",-3.37894727,35.85384631,"Arusha","wua","enough"
30471,"functional",-3.35827906,35.86562466,"Arusha","wua","enough"
15934,"functional",-3.50040742,36.86282412,"Arusha","vwc","insufficient"
17782,"functional",-3.51423089,36.84734769,"Arusha","vwc","insufficient"
26134,"functional",-3.49135566,36.85165797,"Arusha","vwc","insufficient"
61329,"functional",-3.5049519,36.83891293,"Arusha","vwc","insufficient"
62052,"functional",-3.48981379,36.84784376,"Arusha","vwc","insufficient"
73590,"non-functional",-3.52727476,36.83258371,"Arusha","parastatal","seasonal"
