"id","status_group","latitude","longitude","region","management","quantity"
41857,"functional",-6.86615448,39.37121958,"Dar-Es-Salaam","wug","seasonal"
22837,"non-functional",-6.8655047,39.41513329,"Dar-Es-Salaam","vwc","dry"
53930,"non-functional",-6.86582565,39.41581127,"Dar-Es-Salaam","vwc","dry"
49097,"functional",-7.12888268,39.5215713,"Dar-Es-Salaam","vwc","enough"
2496,"non-functional",-6.86573721,39.39950113,"Dar-Es-Salaam","other - school","dry"
33298,"non-functional",-6.86533204,39.41252679,"Dar-Es-Salaam","vwc","dry"
17313,"functional",-6.86491072,39.36865443,"Dar-Es-Salaam","wug","seasonal"
6646,"non-functional",-6.8656501,39.41307608,"Dar-Es-Salaam","vwc","dry"
16291,"non-functional",-6.86120992,39.36122258,"Dar-Es-Salaam","other - school","dry"
14306,"non-functional",-6.86616708,39.41503195,"Dar-Es-Salaam","vwc","dry"
40122,"non-functional",-6.86627474,39.36430333,"Dar-Es-Salaam","wug","dry"
23907,"non-functional",-6.86352262,39.41263752,"Dar-Es-Salaam","vwc","dry"
52176,"non-functional",-6.90799622,39.37778296,"Dar-Es-Salaam","other - school","insufficient"
41139,"non-functional",-6.86287061,39.35982379,"Dar-Es-Salaam","vwc","dry"
6402,"non-functional",-6.8638996,39.41471479,"Dar-Es-Salaam","vwc","dry"
63172,"functional",-6.8654517,39.36702187,"Dar-Es-Salaam","wug","seasonal"
36476,"non-functional",-6.86375378,39.36733988,"Dar-Es-Salaam","other - school","dry"
40028,"non-functional",-6.86164095,39.36124233,"Dar-Es-Salaam","wug","insufficient"
4067,"non-functional",-6.8990694,39.48119249,"Dar-Es-Salaam","vwc","enough"
48399,"non-functional",-6.8656573,39.37325944,"Dar-Es-Salaam","other - school","dry"
33601,"functional",-7.1199834,39.52081696,"Dar-Es-Salaam","vwc","enough"
38113,"non-functional",-6.86424983,39.36381206,"Dar-Es-Salaam","other - school","dry"
50061,"functional-needs-repair",-7.15756258,39.50675257,"Dar-Es-Salaam","parastatal","insufficient"
51086,"functional",-6.85064751,39.32307892,"Dar-Es-Salaam","other - school","enough"
57536,"functional",-7.12684025,39.52368487,"Dar-Es-Salaam","vwc","enough"
20301,"functional",-6.86267162,39.3629743,"Dar-Es-Salaam","wug","enough"
21237,"non-functional",-6.86358536,39.36468411,"Dar-Es-Salaam","other - school","dry"
20092,"non-functional",-6.83988211,39.34511028,"Dar-Es-Salaam","other - school","dry"
70375,"non-functional",-6.86452118,39.41225273,"Dar-Es-Salaam","vwc","dry"
53270,"non-functional",-6.83446625,39.34656971,"Dar-Es-Salaam","vwc","dry"
61510,"non-functional",-6.84048932,39.34932742,"Dar-Es-Salaam","other - school","dry"
68104,"non-functional",-6.8762458,39.38633773,"Dar-Es-Salaam","other - school","dry"
54375,"non-functional",-6.86387473,39.36440514,"Dar-Es-Salaam","other - school","dry"
12730,"functional",-7.10452304,39.42745228,"Dar-Es-Salaam","vwc","enough"
10874,"non-functional",-6.89474227,39.36345027,"Dar-Es-Salaam","other - school","insufficient"
28303,"non-functional",-6.87382203,39.39716558,"Dar-Es-Salaam","other - school","dry"
28703,"non-functional",-6.86669713,39.39990845,"Dar-Es-Salaam","other - school","dry"
5095,"functional",-6.88240284,39.4353604,"Dar-Es-Salaam","vwc","enough"
50221,"non-functional",-6.8335189,39.34405412,"Dar-Es-Salaam","other - school","dry"
10181,"functional",-6.83598579,39.34118476,"Dar-Es-Salaam","other - school","enough"
38452,"non-functional",-6.87322368,39.39832317,"Dar-Es-Salaam","other - school","dry"
73182,"non-functional",-7.00917387,39.53426616,"Dar-Es-Salaam","vwc","seasonal"
221,"functional",-6.87047415,39.37370696,"Dar-Es-Salaam","wug","seasonal"
17706,"functional",-6.86082241,39.35724028,"Dar-Es-Salaam","wug","seasonal"
26231,"non-functional",-6.86423753,39.41289596,"Dar-Es-Salaam","vwc","dry"
21467,"non-functional",-6.84763936,39.34196722,"Dar-Es-Salaam","other - school","enough"
12627,"non-functional",-6.85789618,39.39950088,"Dar-Es-Salaam","other - school","dry"
53875,"non-functional",-6.87646428,39.38538869,"Dar-Es-Salaam","other - school","dry"
37769,"non-functional",-6.87314777,39.40154356,"Dar-Es-Salaam","other - school","dry"
61639,"functional",-6.86376375,39.32787134,"Dar-Es-Salaam","private operator","enough"
40378,"functional",-6.8763401,39.40961317,"Dar-Es-Salaam","other - school","enough"
68528,"functional",-6.85164021,39.34271659,"Dar-Es-Salaam","other - school","enough"
2329,"functional",-7.12684925,39.52269564,"Dar-Es-Salaam","vwc","enough"
8417,"non-functional",-6.87374956,39.39941603,"Dar-Es-Salaam","other - school","dry"
61579,"non-functional",-6.8750411,39.39120456,"Dar-Es-Salaam","vwc","dry"
45934,"non-functional",-6.85738362,39.32551789,"Dar-Es-Salaam","other - school","dry"
52158,"non-functional",-6.9179474,39.47305674,"Dar-Es-Salaam","other - school","dry"
35341,"non-functional",-6.89761748,39.43898202,"Dar-Es-Salaam","other - school","dry"
25357,"non-functional",-6.89840262,39.44140518,"Dar-Es-Salaam","other - school","dry"
28439,"non-functional",-6.86608099,39.3973539,"Dar-Es-Salaam","other - school","dry"
44086,"non-functional",-6.85614677,39.32556588,"Dar-Es-Salaam","other - school","dry"
41479,"non-functional",-6.85539389,39.31933481,"Dar-Es-Salaam","other - school","seasonal"
63602,"non-functional",-7.01223295,39.53432087,"Dar-Es-Salaam","other - school","seasonal"
60227,"functional",-7.1257291,39.52187046,"Dar-Es-Salaam","vwc","enough"
2441,"non-functional",-6.87486489,39.39581587,"Dar-Es-Salaam","other - school","dry"
55806,"functional",-7.09485075,39.53148056,"Dar-Es-Salaam","vwc","enough"
68101,"non-functional",-7.15299639,39.50606948,"Dar-Es-Salaam","vwc","enough"
67065,"non-functional",-6.86788593,39.39926577,"Dar-Es-Salaam","vwc","dry"
28357,"non-functional",-6.86762145,39.40139431,"Dar-Es-Salaam","other - school","dry"
48969,"non-functional",-7.0994868,39.43413663,"Dar-Es-Salaam","vwc","dry"
63413,"non-functional",-7.07682601,39.53096107,"Dar-Es-Salaam","vwc","enough"
32867,"non-functional",-6.89374569,39.44428737,"Dar-Es-Salaam","other - school","dry"
13351,"non-functional",-6.86684627,39.39866337,"Dar-Es-Salaam","other - school","dry"
1713,"functional",-7.09634074,39.4336884,"Dar-Es-Salaam","vwc","enough"
33122,"non-functional",-6.87273768,39.39838318,"Dar-Es-Salaam","vwc","dry"
14003,"non-functional",-6.57636729,39.13122311,"Dar-Es-Salaam","parastatal","enough"
17569,"functional",-6.86048297,39.35517325,"Dar-Es-Salaam","wug","enough"
33463,"non-functional",-6.85642558,39.35662971,"Dar-Es-Salaam","wug","seasonal"
63819,"non-functional",-6.86444201,39.37135389,"Dar-Es-Salaam","vwc","dry"
58531,"functional",-6.85370469,39.35271131,"Dar-Es-Salaam","other - school","enough"
21299,"non-functional",-7.01560525,39.53689034,"Dar-Es-Salaam","other - school","seasonal"
48191,"non-functional",-6.86838457,39.40013688,"Dar-Es-Salaam","vwc","dry"
4257,"functional",-6.85530332,39.35134171,"Dar-Es-Salaam","wug","seasonal"
47027,"non-functional",-6.86899134,39.39794814,"Dar-Es-Salaam","other - school","dry"
68647,"non-functional",-6.8905616,39.44213496,"Dar-Es-Salaam","other - school","dry"
17691,"functional",-7.00210279,39.53550928,"Dar-Es-Salaam","parastatal","enough"
17113,"functional",-7.05953297,39.53166316,"Dar-Es-Salaam","vwc","enough"
40281,"non-functional",-7.10079807,39.43119052,"Dar-Es-Salaam","vwc","dry"
3396,"functional",-6.98480223,39.52402148,"Dar-Es-Salaam","vwc","enough"
44475,"functional",-6.88081557,39.33096519,"Dar-Es-Salaam","other - school","enough"
47089,"non-functional",-6.85570546,39.3538463,"Dar-Es-Salaam","wug","dry"
17642,"functional",-6.84700681,39.35160157,"Dar-Es-Salaam","other - school","enough"
8412,"non-functional",-7.00196327,39.53713175,"Dar-Es-Salaam","parastatal","insufficient"
55322,"functional",-7.08818301,39.53459924,"Dar-Es-Salaam","vwc","enough"
55605,"non-functional",-7.10001853,39.43223034,"Dar-Es-Salaam","vwc","dry"
60616,"non-functional",-6.94096824,39.43050678,"Dar-Es-Salaam","parastatal","enough"
15466,"functional",-6.84960283,39.352696,"Dar-Es-Salaam","other - school","enough"
735,"functional",-6.63899236,39.16253395,"Dar-Es-Salaam","parastatal","enough"
53229,"non-functional",-6.8432772,39.3483989,"Dar-Es-Salaam","other - school","dry"
30500,"functional",-7.10152993,39.41037347,"Dar-Es-Salaam","vwc","enough"
35877,"non-functional",-6.85924675,39.32532529,"Dar-Es-Salaam","other - school","dry"
3230,"non-functional",-7.16292054,39.50520515,"Dar-Es-Salaam","vwc","dry"
71791,"functional",-6.86414768,39.34679814,"Dar-Es-Salaam","wug","seasonal"
63823,"functional",-7.07714699,39.53081544,"Dar-Es-Salaam","vwc","enough"
54848,"non-functional",-6.90190842,39.44163826,"Dar-Es-Salaam","other - school","dry"
13222,"non-functional",-7.09859995,39.43462817,"Dar-Es-Salaam","vwc","dry"
26293,"non-functional",-7.09627911,39.43371534,"Dar-Es-Salaam","vwc","dry"
58017,"functional",-7.09496905,39.43572905,"Dar-Es-Salaam","vwc","enough"
44840,"non-functional",-7.09841632,39.43185401,"Dar-Es-Salaam","vwc","dry"
61241,"functional",-6.86296774,39.34344056,"Dar-Es-Salaam","wug","enough"
69005,"non-functional",-7.09984523,39.43075271,"Dar-Es-Salaam","vwc","dry"
30186,"non-functional",-7.09859163,39.43061023,"Dar-Es-Salaam","vwc","dry"
35195,"non-functional",-6.83920473,39.35054888,"Dar-Es-Salaam","other - school","dry"
46668,"functional",-6.85502351,39.34267674,"Dar-Es-Salaam","other - school","enough"
71617,"non-functional",-6.91356942,39.38138182,"Dar-Es-Salaam","other - school","enough"
3577,"functional",-7.09983256,39.43090198,"Dar-Es-Salaam","vwc","enough"
60983,"non-functional",-6.98874758,39.52711433,"Dar-Es-Salaam","vwc","dry"
