"id","status_group","latitude","longitude","region","management","quantity"
65229,"functional",-6.53760716,36.55619479,"Dodoma","other","seasonal"
2457,"non-functional",-6.52827946,36.55445369,"Dodoma","vwc","enough"
4892,"functional",-6.54002374,36.55416094,"Dodoma","vwc","seasonal"
11576,"non-functional",-6.44853404,36.70940035,"Dodoma","vwc","enough"
13230,"non-functional",-6.57647969,36.52648332,"Dodoma","vwc","enough"
14678,"non-functional",-6.44635145,36.70706405,"Dodoma","vwc","enough"
16535,"non-functional",-6.44691538,36.70766399,"Dodoma","vwc","enough"
20639,"non-functional",-6.57612953,36.52639035,"Dodoma","vwc","enough"
28718,"non-functional",-6.43757272,36.70068308,"Dodoma","vwc","enough"
42743,"functional",-6.45273384,36.63182059,"Dodoma","private operator","enough"
53128,"functional",-6.4489971,36.71146096,"Dodoma","vwc","enough"
66073,"non-functional",-6.45107847,36.64113983,"Dodoma","vwc","enough"
68455,"functional-needs-repair",-6.44207355,36.70401312,"Dodoma","vwc","enough"
22976,"non-functional",-6.41772567,36.66380035,"Dodoma","vwc","enough"
8133,"non-functional",-6.44347984,36.72246079,"Dodoma","vwc","enough"
8660,"non-functional",-6.41476549,36.68073115,"Dodoma","vwc","enough"
12416,"non-functional",-6.41096959,36.66673372,"Dodoma","vwc","enough"
24185,"non-functional",-6.42264594,36.70040208,"Dodoma","vwc","enough"
30603,"non-functional",-6.42951649,36.73434971,"Dodoma","vwc","enough"
41830,"non-functional",-6.43545308,36.71250846,"Dodoma","vwc","enough"
50855,"non-functional",-6.43864977,36.72055565,"Dodoma","vwc","enough"
51195,"non-functional",-6.43634192,36.72380928,"Dodoma","vwc","enough"
61381,"functional-needs-repair",-6.45233214,36.62956516,"Dodoma","other","seasonal"
40375,"functional",-4.71921363,35.92097594,"Dodoma","vwc","insufficient"
1073,"non-functional",-5.17305291,35.86778812,"Dodoma","vwc","enough"
1448,"functional",-5.10703954,35.82520002,"Dodoma","private operator","enough"
