"id","status_group","latitude","longitude","region","management","quantity"
66681,"functional",-10.51363769,34.60612531,"Iringa","vwc","enough"
16779,"functional",-10.51530382,34.60624539,"Iringa","vwc","enough"
60157,"functional",-10.51971778,34.60876453,"Iringa","vwc","enough"
48873,"functional",-10.51649917,34.60887565,"Iringa","vwc","enough"
20025,"functional",-10.51554196,34.60775974,"Iringa","vwc","enough"
8022,"functional",-10.51565692,34.60680091,"Iringa","vwc","enough"
30464,"functional",-10.51327963,34.60769755,"Iringa","vwc","enough"
46348,"functional",-10.51026244,34.6041918,"Iringa","vwc","enough"
43340,"functional",-10.51634899,34.61052867,"Iringa","vwc","enough"
32806,"functional",-10.49483191,34.60191451,"Iringa","vwc","enough"
61386,"functional",-10.50796013,34.60454343,"Iringa","vwc","enough"
4742,"functional",-10.52240264,34.61252927,"Iringa","vwc","enough"
25781,"functional",-10.52388405,34.61712373,"Iringa","vwc","enough"
47278,"functional",-10.52471048,34.62015406,"Iringa","vwc","enough"
14724,"functional",-10.50479955,34.60394761,"Iringa","vwc","enough"
54515,"functional",-10.51722816,34.61184786,"Iringa","vwc","enough"
46000,"functional",-10.5217732,34.61299273,"Iringa","vwc","enough"
52951,"functional",-10.52023406,34.61519115,"Iringa","vwc","enough"
43556,"functional",-10.51437418,34.60937621,"Iringa","vwc","enough"
28803,"functional",-10.52200814,34.61657893,"Iringa","vwc","enough"
59327,"functional",-10.51620275,34.61425389,"Iringa","vwc","enough"
65049,"functional",-10.51540155,34.61255571,"Iringa","vwc","enough"
1797,"functional",-10.47238987,34.59230636,"Iringa","vwc","enough"
29796,"non-functional",-10.44672647,34.59933506,"Iringa","vwc","seasonal"
27689,"functional",-7.5088556,36.52224839,"Iringa","vwc","enough"
23612,"non-functional",-7.4647534,36.51033437,"Iringa","vwc","enough"
36190,"functional",-10.46820267,34.5898078,"Iringa","private operator","enough"
4865,"functional",-7.50549005,36.52032678,"Iringa","vwc","enough"
