"id","status_group","latitude","longitude","region","management","quantity"
57938,"non-functional",-1.24154001,30.94570216,"Kagera","other","seasonal"
64400,"functional",-1.48838539,30.88801193,"Kagera","other","seasonal"
45638,"functional",-1.4379035,31.1004766,"Kagera","other","seasonal"
784,"functional",-1.48225659,30.91006248,"Kagera","vwc","enough"
1120,"functional",-1.82546844,31.1590978,"Kagera","other","seasonal"
5781,"non-functional",-1.71987249,30.91071155,"Kagera","other","seasonal"
7358,"functional-needs-repair",-1.828558,31.155207,"Kagera","other","seasonal"
9417,"functional",-1.68065404,30.98302258,"Kagera","private operator","dry"
9934,"functional",-1.60412376,30.93620718,"Kagera","other","seasonal"
10669,"functional",-1.9173993,31.09917518,"Kagera","other","seasonal"
11492,"functional",-1.40180262,30.75882483,"Kagera","vwc","enough"
14242,"non-functional",-1.83859958,31.12803724,"Kagera","other","seasonal"
15389,"non-functional",-1.6748231,31.09550028,"Kagera","vwc","dry"
19071,"non-functional",-1.5710402,31.05763056,"Kagera","private operator","seasonal"
19076,"functional",-1.25515213,30.95431192,"Kagera","private operator","seasonal"
19728,"functional",-1.82535885,31.13084671,"Kagera","other","seasonal"
22256,"functional",-1.78131632,31.15148769,"Kagera","other","insufficient"
22843,"functional",-1.71961349,31.16188659,"Kagera","other","seasonal"
23087,"functional",-1.26465781,30.61789061,"Kagera","vwc","enough"
23187,"functional",-1.890266,31.13613972,"Kagera","other","enough"
23200,"functional",-1.35025281,31.03385544,"Kagera","other","seasonal"
25018,"non-functional",-1.36863908,30.77155392,"Kagera","vwc","dry"
26810,"functional",-1.32537631,30.9502858,"Kagera","other","seasonal"
28516,"non-functional",-1.45014439,31.06605126,"Kagera","other","dry"
28662,"functional",-1.40518165,31.1287376,"Kagera","other","seasonal"
30391,"functional",-1.48442254,30.85685114,"Kagera","other","enough"
31874,"functional",-1.86480742,31.11569783,"Kagera","other","seasonal"
35836,"functional",-1.34434746,31.11842593,"Kagera","other","seasonal"
39522,"non-functional",-1.25850945,30.67610771,"Kagera","vwc","enough"
39950,"functional",-1.22533225,30.68873079,"Kagera","vwc","enough"
42220,"non-functional",-1.25106151,30.63842425,"Kagera","vwc","enough"
42326,"functional",-1.42849743,31.1443195,"Kagera","vwc","enough"
43261,"functional",-1.54732926,31.07330455,"Kagera","private operator","seasonal"
43904,"functional",-1.56136548,31.11277006,"Kagera","other","seasonal"
44147,"functional",-1.84254076,31.17434376,"Kagera","other","enough"
45682,"functional",-1.50380968,30.91795944,"Kagera","company","seasonal"
46144,"functional",-1.25705061,30.62699053,"Kagera","vwc","enough"
47763,"functional",-1.65796326,31.12436814,"Kagera","vwc","enough"
48634,"functional",-1.31330366,31.08682987,"Kagera","other","seasonal"
51371,"non-functional",-1.43992385,30.86352311,"Kagera","other","seasonal"
52587,"functional",-1.45043183,31.14840793,"Kagera","other","seasonal"
57037,"non-functional",-1.83329788,30.86807804,"Kagera","vwc","seasonal"
59086,"functional",-1.84189515,31.14245334,"Kagera","other","enough"
61533,"functional",-1.22572529,30.71819391,"Kagera","vwc","enough"
62733,"functional",-1.31159528,30.83474722,"Kagera","other","seasonal"
63088,"non-functional",-1.65365961,31.12624916,"Kagera","vwc","dry"
65518,"non-functional",-1.403907,30.93892971,"Kagera","vwc","dry"
65841,"functional",-1.16709915,30.93669016,"Kagera","other","seasonal"
65989,"functional",-1.64108055,31.13171232,"Kagera","vwc","enough"
71676,"non-functional",-1.5709653,31.05661954,"Kagera","private operator","seasonal"
72799,"functional",-1.4540136,30.85870133,"Kagera","other","seasonal"
73663,"functional",-1.2235427,30.69655981,"Kagera","vwc","enough"
446,"non-functional",-1.43665962,31.17294502,"Kagera","vwc","dry"
472,"non-functional",-1.4256552,31.20675346,"Kagera","vwc","dry"
591,"functional",-1.71856122,31.11402997,"Kagera","vwc","enough"
603,"functional",-1.37488613,31.15423673,"Kagera","vwc","insufficient"
607,"functional",-1.47819328,30.8875786,"Kagera","other","seasonal"
717,"non-functional",-1.33574235,30.71306304,"Kagera","vwc","enough"
810,"functional",-1.73748741,31.13880835,"Kagera","vwc","enough"
842,"functional",-1.29175429,30.8098255,"Kagera","vwc","enough"
874,"functional",-1.78380653,31.16287249,"Kagera","vwc","enough"
883,"functional",-1.45933937,30.83885412,"Kagera","vwc","enough"
1086,"functional",-1.40666666,31.16243542,"Kagera","other","enough"
1088,"functional",-1.47894139,30.85976415,"Kagera","vwc","dry"
1260,"functional",-1.22254165,30.67109317,"Kagera","vwc","enough"
1292,"non-functional",-1.27505653,30.93646467,"Kagera","vwc","insufficient"
1298,"non-functional",-1.28905466,30.71672742,"Kagera","vwc","enough"
1315,"non-functional",-1.53349978,30.84185115,"Kagera","vwc","dry"
1528,"non-functional",-1.30394974,30.71637489,"Kagera","vwc","dry"
1582,"functional",-1.21860923,30.89732541,"Kagera","vwc","enough"
1694,"functional",-1.6709483,31.01550556,"Kagera","vwc","enough"
1800,"non-functional",-1.742279,30.93858537,"Kagera","vwc","dry"
1944,"non-functional",-1.32790006,30.79390822,"Kagera","vwc","enough"
1954,"functional",-1.82789989,31.15810581,"Kagera","vwc","enough"
2018,"functional",-1.71687039,31.02352243,"Kagera","other","seasonal"
2045,"non-functional",-1.19799555,30.63086935,"Kagera","vwc","dry"
2101,"functional",-1.70893427,31.15674157,"Kagera","vwc","enough"
2153,"functional",-1.26487268,31.05357069,"Kagera","other","seasonal"
2168,"non-functional",-1.72390501,30.9622305,"Kagera","vwc","dry"
2183,"non-functional",-1.39794022,30.79545121,"Kagera","vwc","dry"
2511,"functional",-1.27126478,30.68689914,"Kagera","vwc","enough"
2520,"functional",-1.23219639,30.67023312,"Kagera","vwc","enough"
2746,"non-functional",-1.20242723,30.60852786,"Kagera","other","unknown"
2954,"non-functional",-1.55116685,30.88422584,"Kagera","vwc","dry"
3042,"non-functional",-1.59155952,30.93223549,"Kagera","vwc","dry"
3110,"non-functional",-1.68097363,30.97670761,"Kagera","vwc","dry"
3283,"functional-needs-repair",-1.49334442,30.88045847,"Kagera","other","enough"
3397,"functional",-1.26439417,30.69532143,"Kagera","vwc","enough"
3656,"non-functional",-1.73426548,30.97185649,"Kagera","vwc","dry"
3672,"non-functional",-1.3169739,30.71280604,"Kagera","vwc","dry"
3815,"functional",-1.70417176,31.17913532,"Kagera","vwc","enough"
3836,"functional",-1.18565924,30.64657119,"Kagera","vwc","enough"
3868,"functional-needs-repair",-1.51224593,30.87684898,"Kagera","vwc","insufficient"
3910,"non-functional",-1.71759186,30.96491657,"Kagera","vwc","dry"
3964,"functional",-1.70092554,31.09204923,"Kagera","vwc","enough"
4036,"non-functional",-1.06492829,30.82693168,"Kagera","vwc","insufficient"
4040,"functional",-1.56027225,31.24538635,"Kagera","other","seasonal"
4049,"functional",-1.47020308,31.17045839,"Kagera","vwc","enough"
4306,"non-functional",-1.2737687,30.6563441,"Kagera","vwc","insufficient"
4353,"functional",-1.71899049,30.99166169,"Kagera","vwc","enough"
4367,"non-functional",-1.418851,30.84418058,"Kagera","vwc","dry"
4548,"non-functional",-1.34278508,30.71783767,"Kagera","vwc","enough"
4679,"functional",-1.48629263,30.88634649,"Kagera","vwc","enough"
4722,"functional",-1.25709639,31.04397388,"Kagera","vwc","enough"
4725,"non-functional",-1.25892903,30.96522352,"Kagera","vwc","dry"
4782,"functional",-1.4086111,30.78931168,"Kagera","vwc","enough"
4895,"functional",-1.35816759,30.770698,"Kagera","vwc","enough"
5133,"functional",-1.4491019,31.17125013,"Kagera","vwc","insufficient"
5238,"functional",-1.72921469,31.13279874,"Kagera","other","seasonal"
5279,"functional",-1.6133705,31.26287089,"Kagera","other","seasonal"
5388,"functional-needs-repair",-1.34263636,31.11780665,"Kagera","other","seasonal"
5479,"functional",-1.7757328,31.16623406,"Kagera","vwc","enough"
5600,"functional",-1.26960586,30.86151597,"Kagera","vwc","enough"
