"id","status_group","latitude","longitude","region","management","quantity"
11973,"non-functional",-4.99130408,29.76416288,"Kigoma","vwc","enough"
15133,"non-functional",-5.10100492,29.81298443,"Kigoma","vwc","enough"
5890,"functional",-5.3487038,29.78255382,"Kigoma","parastatal","enough"
49565,"non-functional",-4.88200592,29.73390176,"Kigoma","vwc","enough"
53007,"functional",-5.41675623,29.75061904,"Kigoma","vwc","enough"
23336,"non-functional",-4.8382878,29.61276296,"Kigoma","vwc","insufficient"
10676,"non-functional",-5.40713167,29.75215367,"Kigoma","vwc","enough"
54882,"functional-needs-repair",-5.32506897,29.79138314,"Kigoma","vwc","insufficient"
14210,"non-functional",-4.83791856,29.61250689,"Kigoma","vwc","insufficient"
16681,"non-functional",-5.19357577,29.83098162,"Kigoma","vwc","enough"
50832,"functional-needs-repair",-4.9057021,29.73413548,"Kigoma","vwc","enough"
71097,"non-functional",-5.18341955,29.82545411,"Kigoma","vwc","insufficient"
48795,"functional-needs-repair",-5.35413376,29.78125142,"Kigoma","vwc","enough"
24285,"functional",-4.99207226,29.76548853,"Kigoma","vwc","enough"
9440,"functional",-5.39305514,29.77129328,"Kigoma","vwc","enough"
71859,"functional-needs-repair",-5.35113726,29.78349663,"Kigoma","vwc","enough"
7477,"non-functional",-4.87918252,29.7335146,"Kigoma","vwc","enough"
46189,"functional-needs-repair",-4.90977381,29.73238181,"Kigoma","vwc","enough"
50999,"functional",-5.32895719,29.79139321,"Kigoma","vwc","seasonal"
35294,"functional",-5.31809812,29.79266172,"Kigoma","vwc","insufficient"
55864,"non-functional",-4.87669303,29.73259375,"Kigoma","vwc","enough"
65770,"functional-needs-repair",-4.99169438,29.76102424,"Kigoma","vwc","insufficient"
45482,"non-functional",-4.83769501,29.61194674,"Kigoma","vwc","insufficient"
67853,"non-functional",-4.99198074,29.76638545,"Kigoma","vwc","enough"
65560,"functional-needs-repair",-5.3442148,29.79008897,"Kigoma","vwc","enough"
53529,"non-functional",-4.91294137,29.61032056,"Kigoma","other","dry"
36714,"functional",-4.90301609,29.60720109,"Kigoma","vwc","enough"
39452,"functional-needs-repair",-5.34685956,29.78403985,"Kigoma","vwc","enough"
8141,"non-functional",-5.18554256,29.84128754,"Kigoma","vwc","insufficient"
