"id","status_group","latitude","longitude","region","management","quantity"
756,"non-functional",-3.18073152,37.08311522,"Kilimanjaro","water board","enough"
36599,"functional",-4.59790039,38.06889503,"Kilimanjaro","vwc","enough"
43428,"non-functional",-4.59981356,38.06965231,"Kilimanjaro","vwc","enough"
45137,"non-functional",-4.59912632,38.0681446,"Kilimanjaro","vwc","enough"
20055,"functional",-3.20895852,37.1198894,"Kilimanjaro","water board","enough"
38625,"functional-needs-repair",-4.5742628,38.06930029,"Kilimanjaro","vwc","insufficient"
15618,"non-functional",-4.60568856,38.07203725,"Kilimanjaro","vwc","insufficient"
60262,"non-functional",-4.59717257,38.07014166,"Kilimanjaro","water board","enough"
6339,"non-functional",-4.57647106,38.06663841,"Kilimanjaro","vwc","enough"
45568,"non-functional",-4.57942791,38.06310789,"Kilimanjaro","vwc","enough"
6466,"non-functional",-4.59841702,38.07005387,"Kilimanjaro","vwc","insufficient"
59915,"functional",-4.5798533,38.06169826,"Kilimanjaro","water authority","insufficient"
55285,"non-functional",-4.59720274,38.06922071,"Kilimanjaro","vwc","dry"
12629,"functional",-4.59910655,38.06948161,"Kilimanjaro","vwc","insufficient"
57710,"non-functional",-4.59032632,38.06905091,"Kilimanjaro","vwc","insufficient"
15776,"non-functional",-4.58027943,38.0688944,"Kilimanjaro","vwc","enough"
73825,"functional",-4.6014399,38.07215544,"Kilimanjaro","vwc","insufficient"
32780,"non-functional",-4.60046537,38.07060336,"Kilimanjaro","vwc","enough"
41879,"non-functional",-4.60050327,38.07002999,"Kilimanjaro","vwc","enough"
18345,"non-functional",-4.53658719,38.0701409,"Kilimanjaro","vwc","enough"
38242,"non-functional",-4.57649184,38.06889838,"Kilimanjaro","vwc","insufficient"
9754,"functional",-4.59667625,38.0714737,"Kilimanjaro","vwc","enough"
12128,"non-functional",-4.57848526,38.06769813,"Kilimanjaro","vwc","enough"
16333,"functional",-4.43491901,38.09644686,"Kilimanjaro","vwc","enough"
34254,"non-functional",-4.55972863,38.06902743,"Kilimanjaro","vwc","dry"
30787,"non-functional",-4.57566295,38.0689437,"Kilimanjaro","vwc","enough"
55841,"functional-needs-repair",-4.49381028,38.10499725,"Kilimanjaro","vwc","enough"
52676,"functional",-4.57918919,38.07004205,"Kilimanjaro","vwc","enough"
73002,"non-functional",-4.43314524,38.09126434,"Kilimanjaro","vwc","enough"
20276,"non-functional",-4.41857427,38.08769929,"Kilimanjaro","vwc","enough"
17679,"functional",-4.47820356,38.10730863,"Kilimanjaro","vwc","enough"
27635,"functional",-4.57889732,38.07004214,"Kilimanjaro","vwc","enough"
48655,"non-functional",-4.49413846,38.10828598,"Kilimanjaro","vwc","enough"
1299,"functional",-4.59732611,38.07358171,"Kilimanjaro","vwc","insufficient"
47349,"non-functional",-4.57520965,38.07019391,"Kilimanjaro","vwc","enough"
67915,"non-functional",-4.50090502,38.08236553,"Kilimanjaro","vwc","enough"
53393,"non-functional",-4.47812194,38.10775569,"Kilimanjaro","vwc","enough"
44000,"non-functional",-4.50388525,38.0817544,"Kilimanjaro","vwc","insufficient"
67310,"non-functional",-4.40505715,38.10202316,"Kilimanjaro","vwc","enough"
24840,"functional",-4.59752613,38.07362073,"Kilimanjaro","vwc","insufficient"
70177,"non-functional",-4.4950075,38.10761662,"Kilimanjaro","vwc","enough"
60719,"functional",-4.4312257,38.09387641,"Kilimanjaro","vwc","enough"
74229,"functional",-4.43123636,38.09127223,"Kilimanjaro","vwc","enough"
21556,"functional",-4.47733306,38.07989431,"Kilimanjaro","vwc","enough"
61725,"non-functional",-4.4331914,38.08657455,"Kilimanjaro","vwc","enough"
70173,"non-functional",-4.47644273,38.07836976,"Kilimanjaro","vwc","enough"
4024,"non-functional",-4.47680705,38.07580942,"Kilimanjaro","vwc","enough"
45492,"functional",-4.47586276,38.11196449,"Kilimanjaro","other","enough"
2218,"non-functional",-4.49090961,38.08219614,"Kilimanjaro","vwc","enough"
24476,"functional",-4.48955204,38.08238351,"Kilimanjaro","vwc","seasonal"
65146,"non-functional",-4.50787797,38.08286378,"Kilimanjaro","vwc","enough"
47226,"non-functional",-4.47860366,38.07760067,"Kilimanjaro","vwc","enough"
