"id","status_group","latitude","longitude","region","management","quantity","population","IMPinstaller","IMPfunder"
14754,"non-functional",-8.51033575,39.49606469,"Lindi","vwc","insufficient",100,"DWE","GOVERNMENT OF TANZANIA"
50247,"functional-needs-repair",-8.51057881,39.49662112,"Lindi","vwc","enough",150,"Other","Other"
33294,"non-functional",-9.99767005,39.65654991,"Lindi","vwc","enough",400,"Other","Other"
73969,"functional",-9.4942385,39.6622387,"Lindi","vwc","insufficient",1,"Other","Other"
26750,"functional",-9.495188,39.66464907,"Lindi","vwc","insufficient",1,"Other","Other"
54951,"functional-needs-repair",-8.88606044,39.49676454,"Lindi","other","insufficient",1,"DWE","GOVERNMENT OF TANZANIA"
11204,"functional",-9.73069251,39.711019,"Lindi","vwc","insufficient",1,"Other","Other"
51746,"functional",-9.74383372,39.70925235,"Lindi","vwc","insufficient",1,"Other","Other"
57638,"non-functional",-9.73068684,39.7086129,"Lindi","vwc","insufficient",1,"Other","Other"
59490,"functional",-9.74442097,39.71128033,"Lindi","vwc","insufficient",1,"Other","Other"
67267,"functional",-9.7259543,39.71348265,"Lindi","vwc","insufficient",1,"Other","Other"
9811,"non-functional",-9.73179101,39.7081061,"Lindi","vwc","insufficient",1,"Other","Other"
23293,"non-functional",-8.52056681,39.50860262,"Lindi","vwc","insufficient",100,"DWE","GOVERNMENT OF TANZANIA"
37573,"functional",-9.098432,39.55981229,"Lindi","vwc","enough",358,"DWE","GOVERNMENT OF TANZANIA"
18966,"functional",-9.11165911,39.5405189,"Lindi","vwc","enough",560,"DWE","GOVERNMENT OF TANZANIA"
25180,"functional",-8.60803986,39.35479263,"Lindi","vwc","enough",210,"DWE","GOVERNMENT OF TANZANIA"
50086,"functional",-8.38902636,39.28222632,"Lindi","private operator","enough",211,"Other","Other"
3447,"non-functional",-10.15874774,39.9633628,"Lindi","vwc","insufficient",324,"Other","Other"
52683,"non-functional",-8.51208127,39.49956724,"Lindi","vwc","enough",100,"DWE","GOVERNMENT OF TANZANIA"
40630,"non-functional",-8.51056855,39.49668619,"Lindi","vwc","dry",130,"DWE","GOVERNMENT OF TANZANIA"
44198,"functional",-9.42863036,39.5967342,"Lindi","vwc","enough",470,"Other","Other"
37855,"functional",-8.52523672,39.51172257,"Lindi","vwc","enough",60,"Other","Other"
72849,"non-functional",-8.52663369,39.51314946,"Lindi","vwc","insufficient",100,"DWE","GOVERNMENT OF TANZANIA"
