"id","status_group","latitude","longitude","region","management","quantity"
53094,"non-functional",-4.58769329,37.87782453,"Manyara","vwc","dry"
71442,"non-functional",-4.61993892,37.76194914,"Manyara","vwc","insufficient"
40346,"non-functional",-4.3864986,37.48263329,"Manyara","vwc","enough"
57790,"non-functional",-4.55568707,37.68627312,"Manyara","vwc","dry"
52491,"non-functional",-4.55509011,37.68636527,"Manyara","vwc","dry"
71770,"non-functional",-4.55683487,37.68554779,"Manyara","vwc","dry"
13632,"non-functional",-4.55670771,37.68582319,"Manyara","vwc","dry"
54246,"non-functional",-4.39528366,37.47661267,"Manyara","vwc","seasonal"
22602,"non-functional",-4.39565485,37.47717551,"Manyara","vwc","enough"
53029,"functional",-4.38958253,37.47916761,"Manyara","vwc","enough"
13507,"non-functional",-4.39549684,37.47640122,"Manyara","vwc","insufficient"
10204,"non-functional",-4.38981055,37.4790493,"Manyara","vwc","enough"
21154,"non-functional",-4.42704774,37.49453206,"Manyara","vwc","dry"
71973,"non-functional",-4.16662662,37.48115073,"Manyara","vwc","insufficient"
10914,"functional",-4.16654184,37.47914518,"Manyara","vwc","enough"
25391,"non-functional",-3.67256865,37.37963051,"Manyara","vwc","enough"
3646,"non-functional",-3.67634727,37.3819267,"Manyara","vwc","enough"
71815,"non-functional",-3.67416982,37.38080906,"Manyara","vwc","enough"
2611,"non-functional",-3.67748886,37.38067341,"Manyara","vwc","enough"
15318,"non-functional",-3.67464544,37.3806401,"Manyara","vwc","enough"
65859,"non-functional",-3.67673008,37.38025934,"Manyara","vwc","enough"
26361,"non-functional",-3.67623697,37.37993188,"Manyara","vwc","enough"
22744,"functional",-3.57662157,37.30326657,"Manyara","vwc","enough"
34322,"non-functional",-3.6880393,37.38564109,"Manyara","vwc","enough"
22170,"functional",-3.81732292,37.45732662,"Manyara","vwc","enough"
50333,"non-functional",-3.76850277,37.41576693,"Manyara","unknown","unknown"
29946,"functional",-3.81762042,37.46071902,"Manyara","vwc","enough"
2055,"functional",-3.81581451,37.45642283,"Manyara","vwc","enough"
52815,"functional",-3.81788149,37.46030219,"Manyara","vwc","enough"
57375,"functional",-3.81990944,37.45745474,"Manyara","vwc","enough"
24157,"non-functional",-3.56941935,37.30084571,"Manyara","unknown","unknown"
51463,"non-functional",-3.56979617,37.30144597,"Manyara","vwc","enough"
44736,"functional",-3.81547513,37.45510999,"Manyara","vwc","enough"
33222,"functional",-3.5704881,37.30039297,"Manyara","vwc","enough"
59930,"functional",-3.57072072,37.30073717,"Manyara","vwc","enough"
34310,"functional",-3.82132853,37.46066446,"Manyara","vwc","enough"
31923,"functional",-3.56889902,37.29944606,"Manyara","vwc","enough"
5160,"functional",-3.81764106,37.46073981,"Manyara","vwc","enough"
1423,"functional",-3.57012201,37.3011237,"Manyara","vwc","enough"
12223,"functional",-3.81765199,37.45537824,"Manyara","vwc","enough"
3204,"non-functional",-3.62059218,37.32290282,"Manyara","vwc","insufficient"
62422,"functional",-3.56642128,37.29815898,"Manyara","vwc","enough"
41954,"functional",-3.61176397,37.3213061,"Manyara","vwc","insufficient"
58269,"functional",-3.615872,37.32248091,"Manyara","vwc","insufficient"
4271,"functional",-3.60239408,37.31464886,"Manyara","vwc","insufficient"
4958,"functional",-3.57425557,37.30210045,"Manyara","vwc","insufficient"
13637,"non-functional",-3.61011832,37.32084116,"Manyara","vwc","insufficient"
72479,"non-functional",-3.59500209,37.31241973,"Manyara","vwc","insufficient"
40391,"non-functional",-3.58152845,37.30518207,"Manyara","vwc","insufficient"
74070,"functional",-3.61725517,37.32321991,"Manyara","vwc","insufficient"
3209,"non-functional",-3.61903462,37.32185502,"Manyara","vwc","insufficient"
37912,"functional",-3.59928832,37.31585231,"Manyara","vwc","insufficient"
7245,"functional",-3.52298486,37.2903539,"Manyara","private operator","enough"
23925,"functional",-3.59928252,37.31306152,"Manyara","vwc","insufficient"
69081,"functional",-3.60020565,37.31356457,"Manyara","vwc","insufficient"
11049,"functional",-3.60811827,37.31692655,"Manyara","vwc","insufficient"
28274,"functional",-3.59708442,37.31188204,"Manyara","vwc","insufficient"
61161,"functional",-3.59595997,37.31352837,"Manyara","vwc","insufficient"
48578,"non-functional",-3.58305938,37.30588069,"Manyara","vwc","insufficient"
28682,"functional",-3.60164759,37.31407294,"Manyara","vwc","insufficient"
37296,"functional",-3.59988498,37.31538024,"Manyara","vwc","insufficient"
20390,"non-functional",-3.59647411,37.31197479,"Manyara","vwc","insufficient"
61843,"functional",-3.59685524,37.31197316,"Manyara","vwc","insufficient"
31652,"non-functional",-3.61353734,37.31942683,"Manyara","vwc","insufficient"
73124,"non-functional",-3.56524379,37.29818268,"Manyara","vwc","insufficient"
9953,"functional",-3.58237803,37.30574575,"Manyara","vwc","insufficient"
31197,"functional",-3.59017085,37.31046398,"Manyara","vwc","insufficient"
40745,"non-functional",-3.55843044,37.29420662,"Manyara","vwc","insufficient"
54798,"functional",-3.57650393,37.300127,"Manyara","vwc","insufficient"
63581,"functional",-3.62043913,37.31958635,"Manyara","parastatal","enough"
69677,"non-functional",-3.56154532,37.29585006,"Manyara","vwc","insufficient"
6641,"functional",-3.56797545,37.29442502,"Manyara","parastatal","seasonal"
38265,"functional",-3.56823044,37.29433955,"Manyara","vwc","enough"
47307,"functional",-3.56810211,37.2938661,"Manyara","parastatal","seasonal"
46498,"functional",-3.56891374,37.30084663,"Manyara","vwc","enough"
12254,"functional",-3.56084785,37.29031438,"Manyara","vwc","insufficient"
68942,"functional",-3.56854501,37.29146454,"Manyara","vwc","enough"
31971,"functional",-3.55779889,37.28960321,"Manyara","vwc","insufficient"
9575,"functional",-3.5835497,37.29911428,"Manyara","vwc","insufficient"
19564,"non-functional",-3.47501216,37.18838835,"Manyara","vwc","enough"
29705,"non-functional",-3.47617502,37.19183404,"Manyara","vwc","enough"
11496,"non-functional",-3.48133214,37.18798002,"Manyara","vwc","enough"
12543,"functional",-3.49381104,37.12087459,"Manyara","vwc","enough"
32405,"functional",-3.49794955,37.07940156,"Manyara","vwc","enough"
28182,"functional",-3.49511211,37.12209086,"Manyara","vwc","enough"
44290,"functional",-3.49494993,37.1206503,"Manyara","vwc","enough"
134,"functional",-3.50113971,37.05876388,"Manyara","vwc","enough"
36036,"functional",-3.49813249,37.07355026,"Manyara","vwc","enough"
15363,"functional",-3.53306779,37.00554582,"Manyara","vwc","enough"
27080,"functional",-3.50375522,37.04450601,"Manyara","vwc","enough"
59536,"functional",-3.50619628,37.04747363,"Manyara","vwc","enough"
34762,"non-functional",-3.50066782,37.05231688,"Manyara","vwc","enough"
47879,"non-functional",-3.50475712,37.0385299,"Manyara","vwc","enough"
37507,"functional",-3.51595684,37.0227058,"Manyara","private operator","enough"
39491,"non-functional",-3.5039215,37.04590734,"Manyara","vwc","enough"
36583,"functional",-3.50234988,37.04660337,"Manyara","vwc","enough"
42642,"functional",-3.51025829,37.02978253,"Manyara","private operator","enough"
30263,"functional",-3.71004421,37.2928387,"Manyara","vwc","enough"
4908,"functional",-3.50532678,37.05015476,"Manyara","vwc","enough"
8361,"functional",-3.50271394,37.05480177,"Manyara","vwc","enough"
25878,"functional",-3.51048891,37.03569262,"Manyara","vwc","enough"
64561,"functional",-3.51605969,37.02595476,"Manyara","private operator","enough"
57419,"functional",-3.51495958,37.02997557,"Manyara","private operator","enough"
63871,"functional",-4.91146882,37.30602689,"Manyara","vwc","insufficient"
22409,"functional",-4.91216988,37.30520744,"Manyara","vwc","enough"
62713,"non-functional",-3.56048534,36.97804404,"Manyara","water authority","enough"
51623,"functional",-3.50481263,37.04006351,"Manyara","vwc","enough"
18658,"functional",-3.52277171,37.01347879,"Manyara","private operator","enough"
26979,"functional",-3.52279122,37.01344856,"Manyara","private operator","enough"
41890,"non-functional",-3.56252372,36.97887476,"Manyara","water authority","enough"
32697,"functional",-3.53154676,37.00677816,"Manyara","private operator","enough"
60040,"functional",-3.56324349,36.97945756,"Manyara","water authority","enough"
72181,"non-functional",-3.58482223,36.954034,"Manyara","wug","dry"
1913,"functional",-3.53296928,37.00534211,"Manyara","vwc","enough"
16555,"functional",-3.54409937,36.98920757,"Manyara","water authority","enough"
7666,"functional",-3.54910904,36.98768103,"Manyara","water authority","enough"
50854,"non-functional",-3.56489359,36.98175393,"Manyara","water authority","enough"
70387,"functional",-3.55569569,36.98047807,"Manyara","water authority","enough"
25511,"non-functional",-3.5821343,36.94184576,"Manyara","wug","dry"
67879,"non-functional",-3.550187,36.98692411,"Manyara","water authority","enough"
4905,"functional",-3.54096966,36.98794483,"Manyara","private operator","enough"
64249,"functional",-3.54283733,36.98817458,"Manyara","private operator","enough"
46842,"non-functional",-3.5810101,36.96072164,"Manyara","wug","enough"
69088,"functional",-3.54831428,36.98931223,"Manyara","water authority","enough"
73929,"non-functional",-3.57258711,36.9309317,"Manyara","wug","insufficient"
73048,"functional",-3.57405053,36.92905566,"Manyara","wug","enough"
24216,"non-functional",-3.57143614,36.92936566,"Manyara","wug","insufficient"
7703,"functional",-3.5720864,36.97792303,"Manyara","water authority","enough"
19945,"functional",-3.57800116,36.93304051,"Manyara","wug","enough"
26326,"non-functional",-3.5731001,36.97931549,"Manyara","water authority","enough"
29000,"functional",-3.57391394,36.93346496,"Manyara","wug","enough"
40791,"functional",-3.69330087,36.90159308,"Manyara","wug","enough"
40174,"non-functional",-3.60670936,36.94536624,"Manyara","wug","enough"
59751,"functional",-3.55930202,36.98430698,"Manyara","water authority","enough"
21261,"functional-needs-repair",-4.03405989,35.72673785,"Manyara","vwc","enough"
4304,"non-functional",-3.5791861,36.92670199,"Manyara","wug","enough"
42532,"non-functional",-3.57877821,36.93543561,"Manyara","vwc","enough"
46020,"non-functional",-3.63615989,36.85848028,"Manyara","vwc","enough"
65076,"functional",-3.5758885,36.92968857,"Manyara","wug","enough"
9810,"non-functional",-3.57492043,36.93019728,"Manyara","private operator","seasonal"
6873,"functional",-3.55170382,36.98653018,"Manyara","water authority","enough"
26577,"functional",-3.56223676,36.98516699,"Manyara","water authority","enough"
55291,"non-functional",-3.59165166,36.92774247,"Manyara","wug","enough"
57950,"non-functional",-3.65870423,36.86441863,"Manyara","wug","insufficient"
2740,"non-functional",-3.57489104,36.92999542,"Manyara","private operator","seasonal"
27117,"functional",-3.71510401,36.89313274,"Manyara","wug","enough"
60736,"functional",-3.6218183,36.84803266,"Manyara","unknown","unknown"
63228,"functional",-3.66054157,36.84336833,"Manyara","vwc","insufficient"
37230,"non-functional",-3.6309423,36.85180463,"Manyara","vwc","enough"
49086,"non-functional",-3.55900308,36.97739431,"Manyara","water authority","enough"
10166,"non-functional",-3.59249371,36.91581428,"Manyara","wug","enough"
41822,"non-functional",-3.59715008,36.88549863,"Manyara","wug","dry"
44206,"functional",-3.65933016,36.91168065,"Manyara","wug","enough"
5177,"non-functional",-3.64886852,36.85589548,"Manyara","wug","insufficient"
18881,"functional",-3.60470836,36.89447373,"Manyara","wug","enough"
72763,"non-functional",-3.65951952,36.84355637,"Manyara","vwc","dry"
10207,"non-functional",-3.65669823,36.84066411,"Manyara","wug","insufficient"
46080,"functional",-3.60402702,36.88863305,"Manyara","wug","enough"
71801,"functional",-3.62568921,36.85180606,"Manyara","vwc","enough"
33115,"functional",-3.64166958,36.84052697,"Manyara","wug","insufficient"
71518,"functional",-3.60260706,36.88175366,"Manyara","wug","enough"
71795,"functional",-3.59215243,36.88800397,"Manyara","wug","enough"
26639,"non-functional",-3.59942979,36.87828745,"Manyara","wug","enough"
30740,"non-functional",-3.6218262,36.84811479,"Manyara","vwc","enough"
43990,"functional",-3.65366447,36.84493545,"Manyara","wug","enough"
67797,"functional",-3.59288558,36.88842753,"Manyara","vwc","enough"
66606,"functional",-3.60515358,36.85882592,"Manyara","vwc","enough"
10806,"non-functional",-3.65830971,36.84278995,"Manyara","wug","insufficient"
28422,"functional",-3.57497152,36.98743205,"Manyara","water authority","enough"
35330,"functional",-3.75710411,35.72846619,"Manyara","vwc","insufficient"
64594,"functional",-3.57200393,36.98872839,"Manyara","water authority","enough"
43144,"functional",-3.81044252,35.73391374,"Manyara","vwc","enough"
60886,"functional",-3.8774146,35.7353996,"Manyara","vwc","enough"
25879,"non-functional",-3.65057918,36.83815344,"Manyara","wug","insufficient"
39219,"functional",-3.72138181,35.73254286,"Manyara","unknown","enough"
13740,"functional",-3.98288107,35.75882831,"Manyara","water board","enough"
22340,"functional",-3.91425416,35.74900488,"Manyara","vwc","enough"
14884,"functional",-3.81945703,35.7005422,"Manyara","vwc","enough"
21516,"functional",-3.91538261,35.78715933,"Manyara","vwc","enough"
1679,"functional",-3.78683525,35.83689951,"Manyara","vwc","enough"
30859,"non-functional",-3.75455111,35.92097561,"Manyara","vwc","dry"
55973,"functional",-3.91482317,35.78791574,"Manyara","vwc","enough"
67800,"functional",-3.91462787,35.78806496,"Manyara","vwc","enough"
50864,"non-functional",-3.92805705,35.83281776,"Manyara","vwc","enough"
15336,"functional-needs-repair",-3.74220515,35.72289459,"Manyara","vwc","insufficient"
25925,"non-functional",-3.87112347,35.82548096,"Manyara","vwc","enough"
1526,"functional",-3.69087715,35.95513531,"Manyara","vwc","enough"
17818,"functional",-3.76158181,35.70863003,"Manyara","vwc","enough"
41617,"non-functional",-3.90475304,35.79914273,"Manyara","vwc","enough"
10685,"non-functional",-3.77730856,35.92016055,"Manyara","vwc","dry"
42052,"non-functional",-3.73986409,35.71663724,"Manyara","vwc","insufficient"
14025,"functional",-3.80501246,35.69957913,"Manyara","vwc","enough"
23471,"functional",-3.81488004,35.72544541,"Manyara","vwc","enough"
21078,"non-functional",-3.91790334,35.84197364,"Manyara","vwc","enough"
37675,"functional",-3.99022448,35.76076731,"Manyara","water board","enough"
38919,"non-functional",-3.90427953,35.81397877,"Manyara","vwc","enough"
28961,"non-functional",-3.78254084,35.8728983,"Manyara","vwc","enough"
6281,"functional",-3.94355282,35.73804111,"Manyara","vwc","enough"
35957,"non-functional",-3.77749201,35.94447767,"Manyara","vwc","dry"
16838,"non-functional",-3.90532199,35.7462812,"Manyara","vwc","enough"
31428,"functional",-3.80380264,35.69674253,"Manyara","vwc","enough"
4628,"non-functional",-3.93940243,35.82196466,"Manyara","vwc","enough"
54939,"functional",-4.80832794,37.15312141,"Manyara","vwc","enough"
44446,"functional",-4.00204808,35.76065945,"Manyara","water board","enough"
16953,"non-functional",-3.7268211,35.92230944,"Manyara","vwc","insufficient"
40442,"functional-needs-repair",-3.72800985,35.71731844,"Manyara","vwc","enough"
72649,"functional",-3.95264691,35.7287931,"Manyara","vwc","enough"
35083,"non-functional",-3.79953902,35.69442145,"Manyara","vwc","enough"
45730,"functional",-3.76381619,35.94720654,"Manyara","vwc","enough"
72705,"non-functional",-3.95575696,35.8412191,"Manyara","vwc","enough"
47605,"functional",-3.74196075,35.71040206,"Manyara","vwc","enough"
3303,"functional-needs-repair",-3.98817793,35.7845055,"Manyara","water board","insufficient"
