"id","status_group","latitude","longitude","region","management","quantity"
42019,"non-functional",-2.15840622,33.50273403,"Mara","wug","insufficient"
65083,"non-functional",-1.67370112,33.70791223,"Mara","vwc","enough"
30775,"non-functional",-1.83430952,33.51619836,"Mara","parastatal","enough"
62918,"non-functional",-1.67972515,33.70437594,"Mara","vwc","enough"
65647,"functional",-2.15939503,33.51064148,"Mara","vwc","enough"
2765,"non-functional",-1.6812345,33.7019085,"Mara","vwc","enough"
14793,"non-functional",-1.68261308,33.69951389,"Mara","vwc","enough"
43109,"non-functional",-2.15817781,33.50829408,"Mara","vwc","enough"
67055,"functional",-2.15024068,33.44742108,"Mara","vwc","enough"
74065,"non-functional",-2.16117196,33.6297465,"Mara","wug","enough"
57765,"functional",-1.53010401,33.86636438,"Mara","vwc","enough"
26540,"non-functional",-2.15235319,33.50998861,"Mara","parastatal","enough"
28240,"functional",-1.83687655,33.5138859,"Mara","vwc","enough"
3800,"non-functional",-2.16322546,33.55478704,"Mara","wug","enough"
8346,"non-functional",-1.49423756,33.69317438,"Mara","parastatal","enough"
67098,"non-functional",-2.15509104,33.51062853,"Mara","vwc","enough"
27400,"non-functional",-1.61141974,34.15579611,"Mara","vwc","enough"
38319,"non-functional",-2.16564548,33.57486694,"Mara","wug","enough"
72823,"functional",-1.64275734,33.71441045,"Mara","parastatal","seasonal"
52953,"functional",-1.58830621,34.10285961,"Mara","vwc","enough"
48260,"non-functional",-2.15957961,33.50909775,"Mara","vwc","enough"
48302,"non-functional",-2.10392658,33.23708567,"Mara","wug","insufficient"
65114,"non-functional",-2.15343308,33.47014341,"Mara","wug","enough"
40167,"non-functional",-2.16263359,33.6273142,"Mara","wug","enough"
1801,"non-functional",-2.15142021,33.4697132,"Mara","wug","insufficient"
20016,"non-functional",-2.16454296,33.57285997,"Mara","wug","enough"
26529,"functional",-2.13248445,33.21958289,"Mara","wug","insufficient"
66985,"non-functional",-2.15789089,33.62696846,"Mara","wug","dry"
44583,"functional",-2.10555525,33.21124338,"Mara","wug","enough"
19864,"non-functional",-2.16422599,33.55724684,"Mara","wug","enough"
36818,"non-functional",-2.1485294,33.44978402,"Mara","vwc","enough"
58993,"non-functional",-2.15285494,33.50950794,"Mara","parastatal","enough"
41235,"functional",-2.1491619,33.45659776,"Mara","wug","enough"
43213,"functional",-1.64272616,33.71459231,"Mara","parastatal","seasonal"
2274,"functional",-2.14941638,33.45335453,"Mara","vwc","enough"
62401,"functional",-1.6423511,33.71435748,"Mara","parastatal","enough"
62530,"functional",-1.83630938,33.51484246,"Mara","vwc","enough"
26735,"functional",-2.15058837,33.44923981,"Mara","vwc","enough"
20140,"functional",-2.17366125,33.60598925,"Mara","vwc","enough"
49240,"non-functional",-2.15181275,33.41179516,"Mara","wug","dry"
10201,"non-functional",-2.17984086,33.61601756,"Mara","wug","dry"
760,"non-functional",-2.15025509,33.45664079,"Mara","vwc","enough"
34648,"non-functional",-2.09498345,33.26141847,"Mara","wug","enough"
11679,"functional",-2.14702508,33.45042148,"Mara","vwc","enough"
21239,"non-functional",-2.15216797,33.47470664,"Mara","wug","dry"
43720,"non-functional",-2.15691423,33.50796412,"Mara","vwc","enough"
64479,"non-functional",-2.15606116,33.39420296,"Mara","wug","insufficient"
19403,"functional",-2.12311098,33.21594859,"Mara","wug","enough"
3515,"functional",-2.14646047,33.45152867,"Mara","vwc","enough"
7112,"functional",-2.15306132,33.40761038,"Mara","wug","enough"
38328,"non-functional",-2.03056536,33.53692272,"Mara","vwc","unknown"
14082,"non-functional",-1.53070474,33.87047576,"Mara","vwc","enough"
10402,"functional",-1.68263304,33.68494347,"Mara","vwc","insufficient"
54953,"functional",-2.15099948,33.46045372,"Mara","vwc","enough"
3301,"non-functional",-1.90422611,33.39277823,"Mara","vwc","enough"
12233,"non-functional",-2.15538446,33.40422515,"Mara","wug","enough"
17516,"functional",-2.15195843,33.46719471,"Mara","parastatal","insufficient"
68285,"functional",-2.1518865,33.46634659,"Mara","parastatal","seasonal"
70517,"non-functional",-1.99904401,33.59774453,"Mara","parastatal","insufficient"
