"","id","status_group","latitude","longitude","region","management","quantity","population","IMPinstaller","IMPfunder"
"1",230,"functional",-8.57163038,33.06216277,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"2",447,"functional",-8.03090933,33.27128281,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"3",681,"functional-needs-repair",-8.63295745,33.15131397,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"4",1011,"functional",-8.00211585,33.2971565,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"5",1113,"functional-needs-repair",-8.4174846,33.1581778,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"6",1289,"functional",-8.70737014,33.28400776,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"7",1326,"non-functional",-8.51919289,33.01052835,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"8",1415,"non-functional",-8.45203823,33.28548643,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"9",2172,"non-functional",-7.45545953,33.42992976,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"10",2516,"non-functional",-8.57129889,33.03554329,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"11",3381,"functional",-7.94304008,33.31298578,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"12",3642,"non-functional",-8.56661924,33.03479293,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"13",3748,"non-functional",-8.26430631,33.24426262,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"14",3750,"functional-needs-repair",-8.4192542,33.16127726,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"15",3756,"functional-needs-repair",-7.74506904,32.81935362,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"16",3801,"functional-needs-repair",-8.57360615,33.45754481,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
"17",3804,"functional-needs-repair",-8.41297844,33.1585761,"Mbeya","vwc","enough",0,"GOVERNMENT","GOVERNMENT OF TANZANIA"
