"id","status_group","latitude","longitude","region","management","quantity"
31279,"functional",-6.44910548,37.38704367,"Morogoro","vwc","enough"
19861,"non-functional",-6.45186446,37.39141091,"Morogoro","vwc","enough"
74002,"non-functional",-6.18248123,37.06123411,"Morogoro","vwc","enough"
28308,"functional",-6.18370135,37.14222954,"Morogoro","vwc","enough"
18037,"functional",-6.17796327,37.1324681,"Morogoro","vwc","enough"
11994,"non-functional",-6.24210292,37.15667765,"Morogoro","vwc","enough"
36626,"functional",-6.39982089,37.29151198,"Morogoro","vwc","enough"
72331,"non-functional",-6.14047906,36.96067506,"Morogoro","vwc","enough"
66021,"non-functional",-6.13402123,36.99270817,"Morogoro","vwc","enough"
28985,"non-functional",-6.24321429,37.16188524,"Morogoro","vwc","enough"
42737,"functional-needs-repair",-6.52011957,37.21780891,"Morogoro","vwc","enough"
55794,"non-functional",-6.13101773,36.99445812,"Morogoro","vwc","enough"
10993,"non-functional",-6.40146441,37.28608427,"Morogoro","vwc","enough"
59600,"functional-needs-repair",-6.51963313,37.21469646,"Morogoro","vwc","enough"
29005,"functional",-6.37576088,37.36400838,"Morogoro","vwc","enough"
44499,"non-functional",-6.23915405,37.15270734,"Morogoro","vwc","enough"
52166,"non-functional",-6.41485345,37.2631516,"Morogoro","vwc","enough"
70794,"non-functional",-6.25391234,37.08400666,"Morogoro","vwc","enough"
15579,"non-functional",-6.14240426,36.96944921,"Morogoro","vwc","enough"
25144,"non-functional",-6.13989363,36.96370717,"Morogoro","vwc","enough"
54959,"non-functional",-6.13492066,36.99748575,"Morogoro","vwc","enough"
65891,"non-functional",-6.24202526,37.16474097,"Morogoro","vwc","enough"
51801,"non-functional",-6.13978829,36.9837854,"Morogoro","vwc","enough"
36808,"functional-needs-repair",-6.52342636,37.21498711,"Morogoro","vwc","enough"
51344,"non-functional",-6.2765381,37.19904843,"Morogoro","vwc","enough"
57450,"functional",-6.41804975,37.26697616,"Morogoro","vwc","enough"
57959,"non-functional",-6.40186486,37.28490678,"Morogoro","vwc","insufficient"
65627,"non-functional",-6.51603709,37.22402003,"Morogoro","vwc","enough"
34112,"non-functional",-6.24667343,37.160882,"Morogoro","vwc","enough"
37950,"non-functional",-6.41684939,37.26158971,"Morogoro","vwc","enough"
9147,"functional",-6.14238681,37.20757493,"Morogoro","vwc","enough"
68116,"non-functional",-6.58992071,37.17141504,"Morogoro","vwc","enough"
40339,"functional",-6.17998303,37.13295789,"Morogoro","vwc","enough"
68978,"non-functional",-6.19590272,37.13392355,"Morogoro","vwc","enough"
46934,"functional-needs-repair",-6.51883859,37.21724043,"Morogoro","vwc","enough"
5420,"non-functional",-6.27212013,37.19487077,"Morogoro","vwc","enough"
30728,"functional",-6.37180161,37.36536631,"Morogoro","vwc","enough"
55457,"functional",-6.37486964,37.36657083,"Morogoro","vwc","enough"
65066,"functional",-6.1865869,37.13530881,"Morogoro","vwc","enough"
10102,"functional",-6.4065062,37.26648463,"Morogoro","vwc","enough"
37820,"non-functional",-6.18887499,37.1366733,"Morogoro","vwc","enough"
62165,"functional",-6.18474042,37.13499706,"Morogoro","vwc","enough"
64282,"non-functional",-6.10734302,37.14729526,"Morogoro","vwc","enough"
18565,"non-functional",-6.58519729,37.17357326,"Morogoro","vwc","enough"
17191,"non-functional",-6.20317523,36.96099751,"Morogoro","vwc","enough"
22668,"functional-needs-repair",-6.51607202,37.22404102,"Morogoro","vwc","insufficient"
9446,"non-functional",-6.51838292,37.21545038,"Morogoro","vwc","enough"
30976,"functional-needs-repair",-6.52310604,37.21785004,"Morogoro","vwc","enough"
62448,"non-functional",-6.19620411,37.1369278,"Morogoro","vwc","insufficient"
44262,"non-functional",-6.24599974,37.16642847,"Morogoro","vwc","enough"
68139,"non-functional",-6.14112043,36.98389849,"Morogoro","vwc","enough"
49028,"functional-needs-repair",-6.52208881,37.21646328,"Morogoro","vwc","enough"
71764,"non-functional",-6.24613239,37.16470864,"Morogoro","vwc","insufficient"
16173,"functional",-6.5907757,37.17186295,"Morogoro","vwc","enough"
15623,"non-functional",-6.51881207,37.21731239,"Morogoro","vwc","enough"
41149,"non-functional",-6.37248165,37.31522499,"Morogoro","vwc","enough"
24388,"functional",-6.34531747,37.3360628,"Morogoro","vwc","enough"
34143,"non-functional",-6.24913553,37.1623456,"Morogoro","vwc","enough"
38461,"non-functional",-6.40123296,37.29510385,"Morogoro","vwc","enough"
43480,"non-functional",-6.39899891,37.29735062,"Morogoro","vwc","seasonal"
60516,"non-functional",-6.27211545,37.0898388,"Morogoro","vwc","enough"
33397,"non-functional",-6.14342705,36.98946329,"Morogoro","vwc","insufficient"
39598,"non-functional",-6.19355682,36.94956539,"Morogoro","vwc","enough"
68826,"non-functional",-6.19057035,36.94647484,"Morogoro","vwc","enough"
27586,"functional",-6.42024571,37.26652142,"Morogoro","vwc","enough"
29835,"non-functional",-6.13864871,36.96864667,"Morogoro","vwc","insufficient"
56452,"non-functional",-6.17615942,37.04549303,"Morogoro","vwc","seasonal"
40037,"functional",-6.35459136,37.28471775,"Morogoro","vwc","enough"
5621,"non-functional",-6.17619083,37.04549687,"Morogoro","vwc","seasonal"
43699,"functional-needs-repair",-6.51740019,37.22109139,"Morogoro","vwc","insufficient"
30339,"functional",-6.45207163,37.3945927,"Morogoro","vwc","insufficient"
35406,"functional-needs-repair",-6.51456499,37.22852294,"Morogoro","vwc","insufficient"
3980,"non-functional",-6.12962635,36.9842302,"Morogoro","vwc","insufficient"
11982,"functional",-6.175945,37.13305013,"Morogoro","vwc","insufficient"
26110,"non-functional",-6.58350211,37.17790844,"Morogoro","vwc","insufficient"
26834,"non-functional",-6.28548271,37.20334588,"Morogoro","vwc","insufficient"
23852,"functional-needs-repair",-6.5250742,37.21779212,"Morogoro","vwc","insufficient"
33659,"functional",-6.18197893,37.14274878,"Morogoro","vwc","insufficient"
73734,"functional-needs-repair",-6.52698824,37.21417653,"Morogoro","vwc","insufficient"
68180,"non-functional",-6.32521695,37.18089545,"Morogoro","vwc","insufficient"
20444,"non-functional",-6.34104276,37.33494044,"Morogoro","vwc","insufficient"
48857,"functional-needs-repair",-6.52454804,37.21488948,"Morogoro","vwc","insufficient"
53460,"functional",-6.3727824,37.36932461,"Morogoro","vwc","insufficient"
70115,"non-functional",-6.19591178,37.14071166,"Morogoro","vwc","insufficient"
2143,"functional",-6.41733617,37.26453022,"Morogoro","vwc","insufficient"
17217,"non-functional",-6.40147495,37.2967319,"Morogoro","vwc","insufficient"
40159,"non-functional",-6.26203709,37.10712344,"Morogoro","vwc","insufficient"
67229,"functional",-6.46913047,37.30143739,"Morogoro","vwc","insufficient"
18253,"non-functional",-6.14118072,36.96338378,"Morogoro","vwc","insufficient"
31419,"functional",-6.49808696,37.26593128,"Morogoro","vwc","insufficient"
69700,"functional-needs-repair",-6.5267612,37.21743527,"Morogoro","vwc","insufficient"
69177,"functional-needs-repair",-6.52915879,37.21488956,"Morogoro","vwc","insufficient"
22341,"non-functional",-6.19684008,37.14026681,"Morogoro","vwc","insufficient"
20260,"functional",-6.45428,37.39581393,"Morogoro","vwc","insufficient"
70406,"functional-needs-repair",-6.52570477,37.21697536,"Morogoro","vwc","insufficient"
40551,"functional",-6.18198945,37.14816589,"Morogoro","vwc","insufficient"
34530,"functional-needs-repair",-6.51607844,37.21846308,"Morogoro","vwc","insufficient"
20383,"functional",-6.09286514,37.09221349,"Morogoro","vwc","enough"
29506,"non-functional",-6.13153257,37.07032058,"Morogoro","vwc","insufficient"
20369,"non-functional",-6.14561898,37.06791837,"Morogoro","vwc","insufficient"
68464,"non-functional",-6.12691748,37.13344458,"Morogoro","vwc","insufficient"
36633,"functional",-6.17801182,37.12785101,"Morogoro","vwc","insufficient"
32436,"non-functional",-6.26943726,37.19254543,"Morogoro","vwc","insufficient"
73747,"non-functional",-6.24480672,37.16300662,"Morogoro","vwc","insufficient"
43790,"non-functional",-6.25751593,37.28645489,"Morogoro","vwc","insufficient"
62639,"functional",-6.12190719,37.03750168,"Morogoro","vwc","insufficient"
59690,"functional",-6.33180436,37.26852643,"Morogoro","vwc","enough"
32061,"non-functional",-6.28347189,37.20505467,"Morogoro","vwc","insufficient"
8954,"non-functional",-6.37422585,37.31871232,"Morogoro","vwc","insufficient"
68564,"functional",-6.46382372,37.40378551,"Morogoro","vwc","insufficient"
10697,"non-functional",-6.10800212,37.13468421,"Morogoro","vwc","insufficient"
38844,"non-functional",-6.27517408,37.09079739,"Morogoro","vwc","insufficient"
57368,"functional",-6.40093962,37.30056852,"Morogoro","vwc","insufficient"
10135,"functional",-6.42166028,37.29680287,"Morogoro","vwc","insufficient"
30845,"non-functional",-6.33917077,37.33955217,"Morogoro","vwc","insufficient"
3091,"functional",-6.10249415,37.00545481,"Morogoro","vwc","enough"
11753,"functional-needs-repair",-6.52715642,37.2154667,"Morogoro","vwc","insufficient"
61291,"non-functional",-6.3753241,37.32162429,"Morogoro","vwc","insufficient"
2207,"functional",-6.10521756,37.14248134,"Morogoro","vwc","insufficient"
31225,"functional",-6.25791768,37.28014576,"Morogoro","vwc","insufficient"
66492,"functional",-6.41727936,37.26056773,"Morogoro","vwc","insufficient"
25365,"non-functional",-6.49666977,37.3293437,"Morogoro","vwc","enough"
39752,"functional",-6.61894856,36.98495534,"Morogoro","vwc","enough"
50275,"non-functional",-6.34620543,37.34053284,"Morogoro","vwc","insufficient"
61292,"functional",-6.14123809,37.07067906,"Morogoro","vwc","enough"
16923,"functional",-6.34852145,37.28293669,"Morogoro","vwc","insufficient"
36008,"non-functional",-6.26715135,37.1032789,"Morogoro","vwc","insufficient"
61679,"non-functional",-6.29177712,37.19284205,"Morogoro","vwc","insufficient"
27981,"non-functional",-6.39216883,37.33698004,"Morogoro","vwc","insufficient"
49710,"non-functional",-6.19223525,36.94249543,"Morogoro","vwc","insufficient"
72419,"functional",-6.61372311,36.98258376,"Morogoro","vwc","insufficient"
38219,"functional",-6.38567872,37.33322918,"Morogoro","vwc","insufficient"
32810,"non-functional",-6.39077342,37.33924856,"Morogoro","vwc","insufficient"
40825,"functional",-6.38595144,37.3382761,"Morogoro","vwc","insufficient"
41338,"functional",-6.38462346,37.34081255,"Morogoro","vwc","insufficient"
46660,"functional",-6.38731197,37.33283012,"Morogoro","vwc","insufficient"
54632,"functional",-6.38907614,37.33381286,"Morogoro","vwc","insufficient"
55385,"functional",-6.38764134,37.33871048,"Morogoro","vwc","insufficient"
56140,"functional",-6.38487666,37.3353535,"Morogoro","vwc","insufficient"
59003,"non-functional",-6.38210126,37.34343188,"Morogoro","vwc","insufficient"
71120,"functional",-6.39235627,37.34486687,"Morogoro","vwc","insufficient"
7276,"non-functional",-6.14849954,37.13687845,"Morogoro","vwc","insufficient"
39595,"functional",-6.06770859,37.11277364,"Morogoro","vwc","insufficient"
36419,"functional",-6.61244659,36.98194015,"Morogoro","vwc","insufficient"
25242,"functional-needs-repair",-6.52245794,37.21301306,"Morogoro","vwc","insufficient"
45796,"functional",-6.3534777,37.38901966,"Morogoro","vwc","insufficient"
1105,"functional",-6.33448597,37.24886309,"Morogoro","vwc","enough"
32858,"non-functional",-6.19359136,37.10209811,"Morogoro","vwc","insufficient"
17404,"non-functional",-6.59145548,37.17247371,"Morogoro","vwc","unknown"
19043,"non-functional",-6.22210653,37.18548361,"Morogoro","vwc","insufficient"
8804,"functional",-6.34518403,37.39981635,"Morogoro","vwc","insufficient"
29176,"functional",-6.34278229,37.40338743,"Morogoro","vwc","insufficient"
57969,"non-functional",-6.5220637,37.21647827,"Morogoro","vwc","enough"
42422,"non-functional",-6.22117986,37.22292525,"Morogoro","vwc","seasonal"
27468,"functional",-6.53694554,37.2333715,"Morogoro","vwc","insufficient"
54500,"functional",-6.44702767,37.38425744,"Morogoro","vwc","insufficient"
6348,"functional",-6.45762427,37.39924607,"Morogoro","vwc","insufficient"
10637,"functional-needs-repair",-6.52391277,37.21950031,"Morogoro","vwc","insufficient"
57458,"functional",-6.56012924,37.24258444,"Morogoro","vwc","insufficient"
37655,"non-functional",-6.21262457,36.968012,"Morogoro","vwc","insufficient"
68884,"functional",-6.35576262,37.39126969,"Morogoro","vwc","insufficient"
19127,"non-functional",-6.28543484,37.2084154,"Morogoro","vwc","insufficient"
27711,"functional",-6.34345779,37.4023527,"Morogoro","vwc","insufficient"
13531,"functional",-6.0335825,37.36330108,"Morogoro","vwc","insufficient"
42868,"functional",-6.06426019,37.11949144,"Morogoro","vwc","insufficient"
43466,"functional",-6.42515981,37.29565801,"Morogoro","vwc","insufficient"
43825,"non-functional",-6.03236053,37.10626078,"Morogoro","vwc","insufficient"
49410,"non-functional",-6.18368812,37.1397676,"Morogoro","vwc","insufficient"
61504,"non-functional",-6.14471059,37.12171933,"Morogoro","vwc","insufficient"
15842,"functional",-6.42520574,37.29329735,"Morogoro","vwc","insufficient"
34191,"non-functional",-6.41089187,37.26287689,"Morogoro","vwc","insufficient"
49069,"non-functional",-6.14366595,37.14059343,"Morogoro","vwc","insufficient"
45362,"functional",-6.35116934,37.39385239,"Morogoro","vwc","insufficient"
62046,"non-functional",-5.97557994,37.34308185,"Morogoro","vwc","insufficient"
32851,"non-functional",-6.21348194,36.96494559,"Morogoro","vwc","insufficient"
18697,"non-functional",-6.32524131,37.1335699,"Morogoro","vwc","insufficient"
71625,"functional",-6.40948901,37.2665255,"Morogoro","vwc","insufficient"
60351,"functional-needs-repair",-6.52040218,37.2131799,"Morogoro","vwc","insufficient"
11795,"non-functional",-6.21156734,36.96235629,"Morogoro","vwc","insufficient"
29581,"functional",-6.47283541,37.23541831,"Morogoro","vwc","insufficient"
72656,"functional",-6.17750315,37.13370244,"Morogoro","vwc","insufficient"
59889,"functional",-6.49415051,37.33366361,"Morogoro","vwc","insufficient"
67889,"functional",-6.44716983,37.42248584,"Morogoro","vwc","enough"
18617,"non-functional",-6.2425552,37.17059034,"Morogoro","vwc","insufficient"
73190,"non-functional",-6.20482772,36.94287772,"Morogoro","vwc","insufficient"
71687,"non-functional",-6.21475805,36.97189785,"Morogoro","vwc","insufficient"
22884,"non-functional",-6.24831538,37.15850729,"Morogoro","vwc","insufficient"
54856,"non-functional",-6.58855232,37.17246408,"Morogoro","vwc","insufficient"
37835,"functional",-6.53814109,37.23692995,"Morogoro","vwc","insufficient"
65692,"functional",-6.38593706,37.34283838,"Morogoro","vwc","insufficient"
40851,"functional",-6.43258505,37.2961293,"Morogoro","vwc","insufficient"
65005,"non-functional",-6.10958039,37.14058245,"Morogoro","vwc","insufficient"
48536,"non-functional",-6.14039791,36.98204213,"Morogoro","vwc","insufficient"
56227,"non-functional",-6.20836057,36.95754033,"Morogoro","vwc","insufficient"
17331,"non-functional",-6.04437347,37.22847478,"Morogoro","vwc","seasonal"
40324,"functional",-6.24366139,37.16215224,"Morogoro","vwc","enough"
72401,"functional",-6.44801695,37.42549828,"Morogoro","vwc","enough"
53636,"non-functional",-6.33120413,37.13075176,"Morogoro","vwc","insufficient"
52337,"functional",-6.42932127,37.3976253,"Morogoro","vwc","enough"
40553,"functional",-6.22313868,37.21899995,"Morogoro","vwc","seasonal"
42657,"non-functional",-6.24745324,37.16699159,"Morogoro","vwc","insufficient"
1305,"functional",-6.38057758,37.33998636,"Morogoro","vwc","insufficient"
61454,"functional",-6.44534226,37.42163729,"Morogoro","vwc","enough"
26842,"non-functional",-6.2350526,37.14801772,"Morogoro","vwc","insufficient"
441,"non-functional",-6.32609667,37.17974182,"Morogoro","vwc","insufficient"
56134,"functional",-6.38377566,37.34280045,"Morogoro","vwc","insufficient"
2524,"functional",-6.38211886,37.34346487,"Morogoro","vwc","insufficient"
2943,"non-functional",-6.37622412,37.32569417,"Morogoro","vwc","insufficient"
