"id","status_group","latitude","longitude","region","management","quantity"
38774,"functional",-10.27064307,40.10745507,"Mtwara","private operator","enough"
44724,"functional",-10.26644634,40.15479313,"Mtwara","private operator","seasonal"
33375,"functional",-10.27935546,40.11702941,"Mtwara","vwc","seasonal"
47144,"functional",-10.45532017,40.32522643,"Mtwara","vwc","enough"
6012,"non-functional",-10.30986285,40.14599361,"Mtwara","vwc","dry"
67898,"functional",-10.25598001,40.12551387,"Mtwara","vwc","enough"
61871,"non-functional",-10.24227113,40.2338659,"Mtwara","vwc","enough"
72015,"non-functional",-10.24390891,40.12594268,"Mtwara","vwc","enough"
51703,"functional",-10.27873524,40.12160122,"Mtwara","vwc","seasonal"
21329,"functional",-10.23251597,40.12638709,"Mtwara","unknown","enough"
25526,"non-functional",-10.23673206,39.95391511,"Mtwara","vwc","enough"
46828,"functional",-10.21481169,40.12213949,"Mtwara","vwc","enough"
53665,"non-functional",-10.27859873,40.11282723,"Mtwara","vwc","dry"
33221,"non-functional",-10.2794586,40.11036944,"Mtwara","vwc","dry"
45168,"non-functional",-10.26776804,40.15590812,"Mtwara","private operator","dry"
42975,"functional",-10.28033491,40.11296039,"Mtwara","vwc","insufficient"
15330,"functional",-10.25732841,40.25380134,"Mtwara","vwc","enough"
48316,"functional",-10.45531972,40.32523996,"Mtwara","vwc","enough"
14829,"non-functional",-10.32141041,40.23170724,"Mtwara","vwc","insufficient"
4443,"functional",-10.1804711,40.01038559,"Mtwara","vwc","enough"
64428,"non-functional",-10.28086509,40.13482963,"Mtwara","vwc","insufficient"
63714,"functional",-10.50351101,40.30121406,"Mtwara","vwc","enough"
32799,"non-functional",-10.3301091,40.22287314,"Mtwara","vwc","seasonal"
24025,"non-functional",-10.2738678,40.28607041,"Mtwara","vwc","enough"
24855,"non-functional",-10.28001445,40.1101289,"Mtwara","vwc","dry"
50315,"non-functional",-10.53144932,40.28747077,"Mtwara","vwc","enough"
11604,"non-functional",-10.29638884,40.16868095,"Mtwara","private operator","dry"
63383,"non-functional",-10.28251979,40.20104775,"Mtwara","vwc","dry"
29984,"non-functional",-10.27225659,40.16028683,"Mtwara","private operator","dry"
46799,"non-functional",-10.27951753,40.10949603,"Mtwara","vwc","dry"
52361,"functional",-10.57236393,40.26492063,"Mtwara","vwc","enough"
70567,"functional",-10.28786483,40.17523037,"Mtwara","private operator","seasonal"
2417,"functional",-10.24827875,40.00472481,"Mtwara","vwc","enough"
57753,"functional",-10.25247255,40.23875275,"Mtwara","vwc","enough"
18173,"non-functional",-10.28145543,40.20163412,"Mtwara","vwc","seasonal"
62236,"non-functional",-10.281706,40.20248812,"Mtwara","vwc","dry"
33328,"functional",-10.28149546,40.13707275,"Mtwara","vwc","enough"
15840,"functional-needs-repair",-10.28367558,40.11676805,"Mtwara","vwc","insufficient"
910,"functional",-10.25106479,39.99936239,"Mtwara","vwc","enough"
12794,"non-functional",-10.27909095,40.11252952,"Mtwara","vwc","dry"
44018,"functional",-10.27759331,40.10790412,"Mtwara","vwc","insufficient"
31763,"functional",-10.50423108,40.30037784,"Mtwara","vwc","enough"
36237,"non-functional",-10.2355115,40.23127049,"Mtwara","vwc","enough"
