"id","status_group","latitude","longitude","region","management","quantity"
56147,"functional",-7.79205522,39.27534375,"Pwani","vwc","enough"
16026,"non-functional",-7.23175268,39.42466736,"Pwani","vwc","enough"
27293,"functional",-7.79204117,39.27303212,"Pwani","trust","enough"
64309,"functional",-7.79222806,39.27337556,"Pwani","trust","seasonal"
22835,"functional",-7.79161913,39.27387409,"Pwani","vwc","enough"
58068,"non-functional",-7.78915396,39.27459026,"Pwani","vwc","enough"
24985,"functional",-6.4369816,38.89902223,"Pwani","private operator","enough"
13928,"functional",-7.73655531,39.84440422,"Pwani","vwc","insufficient"
29280,"functional",-7.13169341,39.40011742,"Pwani","vwc","enough"
38523,"non-functional",-8.049107,39.71864778,"Pwani","vwc","seasonal"
19304,"non-functional",-8.14122174,39.18336934,"Pwani","vwc","enough"
31765,"functional",-7.79215543,39.27330024,"Pwani","trust","enough"
10347,"non-functional",-7.98903568,39.77906525,"Pwani","vwc","insufficient"
6702,"non-functional",-8.13952974,39.18311155,"Pwani","vwc","enough"
69373,"non-functional",-8.14035482,39.17894175,"Pwani","private operator","dry"
66420,"functional-needs-repair",-7.89045891,39.81916929,"Pwani","vwc","enough"
3392,"non-functional",-8.14053593,39.18059131,"Pwani","vwc","enough"
61431,"non-functional",-8.14252214,39.18165422,"Pwani","vwc","enough"
64355,"non-functional",-8.14361986,39.17728848,"Pwani","vwc","enough"
41583,"functional",-7.8899863,39.81291224,"Pwani","vwc","enough"
45158,"non-functional",-7.94313289,39.63427935,"Pwani","vwc","enough"
7575,"functional",-6.45691249,38.93931149,"Pwani","private operator","enough"
32414,"functional",-7.88420913,39.82199546,"Pwani","vwc","enough"
4890,"functional-needs-repair",-7.8643511,39.72240299,"Pwani","vwc","enough"
41536,"functional-needs-repair",-7.77564321,39.84227816,"Pwani","vwc","enough"
32366,"functional",-7.19012071,39.38061148,"Pwani","wug","enough"
58764,"functional",-7.41131061,39.37530485,"Pwani","vwc","dry"
8902,"non-functional",-8.13861646,39.17910729,"Pwani","vwc","enough"
20550,"non-functional",-8.14293746,39.17594436,"Pwani","vwc","enough"
70518,"functional",-7.88822837,39.81645836,"Pwani","vwc","enough"
61001,"non-functional",-8.04952272,39.71938804,"Pwani","vwc","seasonal"
31773,"non-functional",-8.13972788,39.17754622,"Pwani","vwc","enough"
39998,"non-functional",-8.14295557,39.17615852,"Pwani","vwc","enough"
21064,"functional",-6.44305304,38.90877855,"Pwani","parastatal","enough"
6740,"functional",-7.7397684,39.84849945,"Pwani","vwc","insufficient"
64403,"functional",-7.53940072,39.38953564,"Pwani","vwc","dry"
39565,"non-functional",-8.1379913,39.17831479,"Pwani","vwc","enough"
4896,"functional-needs-repair",-7.84514356,39.20144289,"Pwani","trust","enough"
19558,"functional",-7.78264309,39.27313222,"Pwani","vwc","enough"
14717,"functional",-7.9167195,39.65533923,"Pwani","vwc","enough"
10951,"non-functional",-6.47984323,38.99909475,"Pwani","private operator","enough"
35786,"non-functional",-6.04056013,38.77644499,"Pwani","vwc","enough"
50400,"functional",-7.97025977,39.74837902,"Pwani","vwc","enough"
13459,"non-functional",-8.14363143,39.18332249,"Pwani","vwc","enough"
52155,"non-functional",-8.14292436,39.18345933,"Pwani","vwc","enough"
29694,"functional",-7.97222451,39.74270043,"Pwani","vwc","enough"
26680,"functional",-6.44514065,38.90011427,"Pwani","private operator","enough"
28475,"functional",-6.44653784,38.90171117,"Pwani","private operator","enough"
16320,"functional-needs-repair",-7.9833043,39.68183992,"Pwani","vwc","insufficient"
51720,"non-functional",-7.39170001,39.23594585,"Pwani","vwc","seasonal"
71348,"functional",-6.4443225,38.89229905,"Pwani","private operator","enough"
56330,"functional-needs-repair",-7.72837315,39.85548228,"Pwani","vwc","seasonal"
50687,"functional",-7.83868397,39.81910911,"Pwani","vwc","insufficient"
20175,"non-functional",-7.94594995,39.64001786,"Pwani","vwc","enough"
40041,"functional",-7.72406645,39.85228873,"Pwani","vwc","enough"
46858,"functional",-6.44376449,38.89966039,"Pwani","private operator","enough"
67997,"functional",-7.38728623,39.25128676,"Pwani","vwc","enough"
7775,"functional",-7.14249525,39.39673272,"Pwani","vwc","enough"
4962,"functional",-7.85506632,39.81949383,"Pwani","vwc","insufficient"
64803,"non-functional",-7.90143211,39.6752606,"Pwani","vwc","enough"
59525,"functional",-6.54359424,38.8372339,"Pwani","private operator","enough"
68454,"non-functional",-7.98272427,39.63172372,"Pwani","vwc","insufficient"
37236,"functional",-6.43665383,38.89998689,"Pwani","private operator","enough"
27383,"non-functional",-7.22312004,39.42568647,"Pwani","vwc","dry"
10789,"non-functional",-7.24946387,39.4087326,"Pwani","vwc","dry"
34662,"functional-needs-repair",-7.94291879,39.52212477,"Pwani","vwc","seasonal"
51408,"functional",-7.36746266,39.21331174,"Pwani","vwc","enough"
30358,"non-functional",-7.39037148,39.25404615,"Pwani","vwc","enough"
62353,"non-functional",-7.7132051,39.28388366,"Pwani","vwc","insufficient"
57082,"functional",-7.8863644,39.68092176,"Pwani","vwc","enough"
42294,"functional",-7.67912743,39.87578244,"Pwani","vwc","enough"
13121,"functional",-7.08979684,39.37385091,"Pwani","vwc","enough"
23529,"functional",-7.86667784,39.80624816,"Pwani","vwc","enough"
45708,"non-functional",-7.75895464,39.82001904,"Pwani","vwc","enough"
46555,"functional",-8.12569247,39.10221294,"Pwani","vwc","enough"
28805,"functional",-8.14262132,39.14553023,"Pwani","trust","enough"
43439,"non-functional",-8.14250201,39.14560251,"Pwani","private operator","enough"
6032,"functional",-7.97306368,39.73788367,"Pwani","vwc","enough"
52383,"functional",-6.44481718,38.89466783,"Pwani","private operator","enough"
64436,"non-functional",-7.37913704,39.31303084,"Pwani","vwc","seasonal"
30729,"non-functional",-7.80048209,39.82166038,"Pwani","vwc","enough"
54837,"non-functional",-7.34130412,39.27827649,"Pwani","vwc","enough"
27523,"functional",-7.95432001,38.97994393,"Pwani","private operator","enough"
8084,"functional",-7.157605,39.34034161,"Pwani","vwc","enough"
33479,"non-functional",-8.1245303,39.09966016,"Pwani","vwc","enough"
