Region,Freq,Var1
Arusha,2294,functional
Dar es Salaam,461,functional
Dodoma,1009,functional
Iringa,4141,functional
Kagera,1727,functional
Kigoma,1363,functional
Kilimanjaro,2640,functional
Lindi,460,functional
Manyara,987,functional
Mara,886,functional
Mbeya,2319,functional
Morogoro,2119,functional
Mtwara,524,functional
Mwanza,1502,functional
Pwani,1556,functional
Rukwa,707,functional
Ruvuma,1480,functional
Shinyanga,2789,functional
Singida,1011,functional
Tabora,848,functional
Tanga,1436,functional
