"id","status_group","latitude","longitude","region","management","quantity"
19073,"non-functional",-10.9198427,37.93841023,"Ruvuma","vwc","enough"
39632,"non-functional",-10.78083785,37.9620023,"Ruvuma","unknown","unknown"
65015,"non-functional",-10.91988573,37.9474567,"Ruvuma","vwc","enough"
42800,"functional-needs-repair",-11.64837759,37.35186912,"Ruvuma","vwc","enough"
48924,"non-functional",-11.51493668,37.36960462,"Ruvuma","vwc","enough"
20163,"functional-needs-repair",-11.64944018,37.35113776,"Ruvuma","vwc","insufficient"
65382,"functional",-11.51175844,37.36410726,"Ruvuma","vwc","enough"
70927,"non-functional",-11.51388585,37.36608892,"Ruvuma","vwc","insufficient"
42387,"non-functional",-11.51323073,37.36803753,"Ruvuma","vwc","enough"
34682,"non-functional",-10.78123585,37.95962102,"Ruvuma","unknown","unknown"
7609,"functional",-11.50897395,37.36493839,"Ruvuma","vwc","insufficient"
8219,"functional",-11.50940228,37.36895705,"Ruvuma","vwc","enough"
9106,"functional-needs-repair",-11.50395039,37.36293392,"Ruvuma","vwc","enough"
62808,"functional",-11.50565485,37.36748305,"Ruvuma","vwc","enough"
27777,"non-functional",-11.50843874,37.36827916,"Ruvuma","vwc","insufficient"
3610,"functional",-11.50657735,37.3662292,"Ruvuma","vwc","enough"
14736,"functional",-11.51079105,37.36455507,"Ruvuma","vwc","enough"
45337,"non-functional",-10.90008441,37.80501154,"Ruvuma","vwc","enough"
71503,"non-functional",-11.50120749,37.36787059,"Ruvuma","vwc","enough"
2353,"functional",-11.4980626,37.36761492,"Ruvuma","vwc","enough"
6716,"functional",-11.49281658,37.36968437,"Ruvuma","vwc","insufficient"
39494,"functional",-10.89753908,37.8051514,"Ruvuma","vwc","enough"
73383,"non-functional",-11.50923897,37.36645044,"Ruvuma","vwc","insufficient"
7099,"functional-needs-repair",-10.90076988,37.8132198,"Ruvuma","vwc","enough"
22749,"functional",-11.49114831,37.36934622,"Ruvuma","parastatal","enough"
1518,"functional",-11.49638918,37.36880988,"Ruvuma","vwc","enough"
34980,"non-functional",-10.90124488,37.81115138,"Ruvuma","vwc","enough"
21209,"functional-needs-repair",-10.90108895,37.80027624,"Ruvuma","vwc","enough"
67520,"functional",-11.44984888,37.32456641,"Ruvuma","vwc","enough"
69028,"non-functional",-10.89853222,37.8067835,"Ruvuma","vwc","enough"
26879,"non-functional",-10.89930299,37.80508577,"Ruvuma","vwc","enough"
36761,"functional",-11.44890475,37.36426947,"Ruvuma","vwc","enough"
45597,"functional",-11.45872989,37.33156431,"Ruvuma","vwc","enough"
28017,"functional",-11.43696261,37.3644076,"Ruvuma","vwc","enough"
24004,"functional",-11.38244141,37.36207278,"Ruvuma","vwc","enough"
67698,"functional",-11.38114355,37.36210469,"Ruvuma","vwc","enough"
17420,"functional",-11.44105744,37.36519912,"Ruvuma","vwc","enough"
70399,"functional",-11.44412138,37.36472777,"Ruvuma","vwc","enough"
43742,"functional",-11.44864298,37.32334128,"Ruvuma","vwc","enough"
864,"functional",-11.46053113,37.33353037,"Ruvuma","vwc","enough"
45177,"functional",-11.44311063,37.36415202,"Ruvuma","vwc","enough"
753,"non-functional",-11.38449679,37.36185149,"Ruvuma","vwc","enough"
1060,"non-functional",-10.9009227,37.79993135,"Ruvuma","unknown","unknown"
35454,"functional",-11.38249998,37.35985261,"Ruvuma","vwc","enough"
67030,"non-functional",-11.38384459,37.35989436,"Ruvuma","vwc","insufficient"
11085,"functional-needs-repair",-11.16520953,37.64652639,"Ruvuma","vwc","seasonal"
11367,"functional",-11.46332632,37.33615951,"Ruvuma","vwc","enough"
20312,"functional",-11.17140181,37.69447135,"Ruvuma","vwc","insufficient"
18390,"functional",-10.87526181,37.65258561,"Ruvuma","vwc","enough"
56333,"functional",-11.16958099,37.6892377,"Ruvuma","vwc","enough"
58665,"functional",-11.16157964,37.65803983,"Ruvuma","vwc","seasonal"
78,"functional",-11.17178117,37.69294503,"Ruvuma","vwc","insufficient"
63574,"functional-needs-repair",-11.165207,37.64258298,"Ruvuma","vwc","seasonal"
42833,"functional",-11.16906079,37.68783936,"Ruvuma","vwc","insufficient"
36523,"non-functional",-10.87115115,37.65053886,"Ruvuma","vwc","enough"
58609,"functional",-10.87320589,37.64173669,"Ruvuma","vwc","enough"
6025,"functional",-11.4016728,37.06849195,"Ruvuma","vwc","enough"
23223,"functional",-11.40349782,37.07037084,"Ruvuma","vwc","enough"
4963,"non-functional",-10.73888546,37.7568705,"Ruvuma","vwc","enough"
50811,"functional",-10.85701011,37.57118297,"Ruvuma","vwc","enough"
43316,"functional",-10.856469,37.5688794,"Ruvuma","vwc","enough"
43108,"non-functional",-11.52131166,37.24228786,"Ruvuma","vwc","insufficient"
5498,"non-functional",-10.85659326,37.57861742,"Ruvuma","vwc","enough"
47067,"non-functional",-10.85613262,37.57333789,"Ruvuma","vwc","enough"
31068,"functional",-10.8580559,37.57490999,"Ruvuma","vwc","enough"
60452,"non-functional",-10.85995182,37.576575,"Ruvuma","vwc","enough"
2985,"non-functional",-10.85720657,37.57972019,"Ruvuma","vwc","enough"
28616,"functional",-11.13363041,37.54327729,"Ruvuma","vwc","enough"
31038,"functional-needs-repair",-11.21803629,37.45395004,"Ruvuma","vwc","enough"
63573,"functional",-11.13447219,37.53887593,"Ruvuma","vwc","enough"
42539,"functional",-11.13536472,37.53472143,"Ruvuma","vwc","enough"
73543,"functional-needs-repair",-10.55015427,34.60709816,"Ruvuma","parastatal","enough"
68551,"non-functional",-10.7429224,37.7525939,"Ruvuma","vwc","enough"
67134,"functional",-10.85532159,37.57627451,"Ruvuma","vwc","enough"
51930,"functional",-11.28876178,34.80085375,"Ruvuma","vwc","insufficient"
60170,"functional-needs-repair",-11.31489656,37.38308264,"Ruvuma","vwc","enough"
57360,"non-functional",-11.58629656,37.08270168,"Ruvuma","vwc","insufficient"
53702,"non-functional",-11.28456272,34.80243662,"Ruvuma","vwc","dry"
55268,"functional",-11.31638993,37.38272769,"Ruvuma","vwc","enough"
