"id","status_group","latitude","longitude","region","management","quantity"
11947,"non-functional",-3.56486165,33.20001162,"Shinyanga","vwc","enough"
66665,"non-functional",-3.56631191,33.19857223,"Shinyanga","vwc","enough"
8775,"non-functional",-3.56554032,33.19685964,"Shinyanga","parastatal","seasonal"
24238,"functional",-4.32132258818182,32.3031000463636,"Shinyanga","unknown","unknown"
21640,"functional",-4.32132258818182,32.3031000463636,"Shinyanga","unknown","unknown"
58037,"non-functional",-4.32132258818182,32.3031000463636,"Shinyanga","unknown","unknown"
2098,"non-functional",-4.28008841,32.32724806,"Shinyanga","vwc","enough"
5367,"functional",-4.27580228,32.2975615,"Shinyanga","vwc","enough"
6020,"functional",-4.32796404,32.24556944,"Shinyanga","vwc","enough"
7843,"functional",-4.27564597,32.27904905,"Shinyanga","vwc","enough"
9733,"functional",-4.31636119,32.29047966,"Shinyanga","vwc","enough"
14841,"non-functional",-4.29504221,32.33402603,"Shinyanga","vwc","dry"
16971,"functional-needs-repair",-4.30559266,32.25508966,"Shinyanga","vwc","enough"
20046,"functional-needs-repair",-4.30817012,32.31340118,"Shinyanga","vwc","insufficient"
27480,"functional",-4.34351898,32.28649735,"Shinyanga","vwc","enough"
29929,"functional",-4.36280801,32.29944589,"Shinyanga","vwc","enough"
37307,"functional",-4.33297315,32.31093226,"Shinyanga","vwc","enough"
40838,"functional",-4.31220375,32.32712228,"Shinyanga","vwc","enough"
46325,"non-functional",-4.30773433,32.35348312,"Shinyanga","vwc","dry"
49151,"functional",-4.33703291,32.33055232,"Shinyanga","vwc","insufficient"
51260,"functional",-4.32827364,32.35479894,"Shinyanga","vwc","enough"
51974,"functional",-4.32204789,32.2834988,"Shinyanga","vwc","enough"
54674,"functional",-4.35497265,32.29472928,"Shinyanga","vwc","enough"
63188,"functional",-4.29121992,32.31293512,"Shinyanga","vwc","enough"
69941,"functional",-4.34073535,32.30813691,"Shinyanga","vwc","enough"
15213,"non-functional",-4.38194618,32.31007456,"Shinyanga","vwc","enough"
49952,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
64162,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","parastatal","seasonal"
14464,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
29147,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
53763,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","unknown","enough"
2216,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
8884,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
27700,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
28836,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
32071,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
39117,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","parastatal","enough"
49661,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
70782,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
9314,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
19031,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
26515,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
27019,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
52257,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
53697,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2186,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
47025,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
60325,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
52503,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
55238,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","other","enough"
439,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
654,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","dry"
662,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
701,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
946,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","parastatal","insufficient"
961,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1136,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1308,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
1318,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1323,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1390,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","parastatal","seasonal"
1584,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1595,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1606,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1678,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
1746,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2103,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","unknown","dry"
2341,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2566,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2588,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","water authority","enough"
2597,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2607,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","insufficient"
2627,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2682,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2728,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
2918,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3253,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3631,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3666,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","parastatal","seasonal"
3677,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3699,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3776,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
3888,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4047,"functional-needs-repair",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4171,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4552,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4630,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4645,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
4839,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5007,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5019,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5229,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5512,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5517,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5589,"non-functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5707,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
5726,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","unknown"
5841,"functional",-2.96496395755906,34.1880592048032,"Shinyanga","wug","enough"
