"id","status_group","latitude","longitude","region","management","quantity"
10090,"non-functional",-6.05181636,35.01691057,"Singida","vwc","enough"
35332,"non-functional",-6.04909333,35.01984236,"Singida","vwc","enough"
10961,"non-functional",-6.04794957,35.01383088,"Singida","vwc","enough"
24448,"non-functional",-6.00936447,34.98683339,"Singida","vwc","enough"
34956,"non-functional",-5.99910016,34.98169524,"Singida","vwc","enough"
21023,"functional",-5.86785285,35.07105842,"Singida","vwc","enough"
658,"non-functional",-6.00426075,34.98503925,"Singida","vwc","enough"
13102,"functional",-5.84946733,35.06472198,"Singida","vwc","enough"
52484,"non-functional",-5.89983554,35.22620161,"Singida","vwc","enough"
16544,"non-functional",-5.94500609,35.01250502,"Singida","vwc","enough"
69195,"non-functional",-5.99887195,34.98700835,"Singida","vwc","enough"
31398,"non-functional",-5.85114289,35.06513682,"Singida","vwc","enough"
72105,"functional",-5.86745926,35.07242235,"Singida","vwc","enough"
48753,"non-functional",-5.86269478,35.07349424,"Singida","vwc","enough"
22526,"non-functional",-5.85110078,35.07199233,"Singida","vwc","enough"
34918,"non-functional",-6.05685783,35.01940357,"Singida","vwc","enough"
35822,"functional",-5.85972683,35.06801729,"Singida","vwc","enough"
25442,"functional",-5.96122565,35.19074651,"Singida","vwc","enough"
44969,"non-functional",-5.94169572,35.01259834,"Singida","vwc","enough"
30963,"functional",-5.86450304,35.07156452,"Singida","vwc","enough"
15815,"non-functional",-5.85530454,35.06630886,"Singida","vwc","enough"
8181,"non-functional",-5.94162578,35.00888557,"Singida","vwc","enough"
10976,"non-functional",-5.87831098,35.11376403,"Singida","vwc","enough"
30097,"functional",-5.85408837,35.06596316,"Singida","vwc","enough"
71401,"non-functional",-5.88003333,35.2388344,"Singida","vwc","enough"
61033,"non-functional",-5.88305998,35.19110821,"Singida","vwc","enough"
50056,"non-functional",-5.88124233,35.23811273,"Singida","vwc","enough"
66514,"non-functional",-5.86298329,35.07216284,"Singida","vwc","enough"
64990,"non-functional",-5.86754495,35.06588184,"Singida","vwc","enough"
41207,"non-functional",-5.87175236,35.00494172,"Singida","vwc","enough"
63234,"non-functional",-5.99175973,34.98707855,"Singida","vwc","enough"
67832,"non-functional",-5.94769117,35.00992706,"Singida","vwc","enough"
13107,"functional",-5.86073956,35.06965261,"Singida","vwc","enough"
44691,"functional",-5.86227306,35.07159948,"Singida","vwc","enough"
53669,"non-functional",-5.85637083,35.07016064,"Singida","vwc","enough"
50875,"non-functional",-5.87132258,35.00786926,"Singida","vwc","enough"
52540,"non-functional",-5.87024621,35.18056328,"Singida","vwc","enough"
46663,"non-functional",-5.85945204,35.06749567,"Singida","vwc","enough"
1996,"non-functional",-5.85385655,35.07063196,"Singida","vwc","enough"
44755,"functional",-5.8622973,35.06879779,"Singida","vwc","enough"
22296,"functional-needs-repair",-5.9197342,35.13236093,"Singida","vwc","enough"
8386,"functional",-5.85570001,35.06454954,"Singida","vwc","enough"
34783,"non-functional",-5.85380083,35.07184252,"Singida","vwc","enough"
18387,"non-functional",-5.8818638,35.21831434,"Singida","vwc","enough"
48980,"functional",-5.86500202,35.07354832,"Singida","vwc","enough"
66563,"non-functional",-5.86536639,35.06947041,"Singida","vwc","enough"
14593,"non-functional",-5.96108317,35.181558,"Singida","vwc","enough"
18124,"non-functional",-5.90537282,34.97864795,"Singida","vwc","enough"
72384,"non-functional",-5.87724096,35.11618161,"Singida","vwc","enough"
26251,"non-functional",-5.87451852,35.00377165,"Singida","vwc","enough"
72597,"non-functional",-5.87642563,35.00377622,"Singida","vwc","enough"
71396,"non-functional",-5.87753458,35.11804968,"Singida","vwc","enough"
35085,"non-functional",-5.90897775,35.13821318,"Singida","vwc","enough"
72444,"functional",-6.28874192,35.21371572,"Singida","vwc","insufficient"
21839,"functional",-5.94707784,35.18217955,"Singida","vwc","enough"
36283,"non-functional",-5.8795008,35.12256857,"Singida","vwc","enough"
7056,"non-functional",-5.87847995,35.12039367,"Singida","water authority","enough"
45226,"functional",-5.88059882,35.23845558,"Singida","vwc","seasonal"
18916,"non-functional",-5.87623432,35.12404639,"Singida","vwc","enough"
30610,"non-functional",-5.88442842,34.99576369,"Singida","vwc","enough"
55342,"functional",-5.82153192,35.06152847,"Singida","vwc","enough"
37895,"functional",-5.85976738,35.25379025,"Singida","vwc","enough"
6244,"non-functional",-5.87722355,35.1246926,"Singida","vwc","enough"
57465,"functional-needs-repair",-5.87671044,34.9706053,"Singida","vwc","enough"
46667,"non-functional",-5.88505519,34.99769316,"Singida","vwc","enough"
35321,"non-functional",-5.90836901,35.14087255,"Singida","vwc","enough"
53851,"functional",-5.79609408,35.05731529,"Singida","vwc","enough"
12558,"non-functional",-5.90786353,35.14083151,"Singida","vwc","enough"
40509,"functional",-5.80574788,35.24947251,"Singida","vwc","enough"
2431,"functional",-5.80274209,35.05505436,"Singida","vwc","enough"
72446,"functional",-5.7989021,35.05335283,"Singida","vwc","enough"
22715,"non-functional",-5.94068298,34.95035314,"Singida","vwc","enough"
8105,"non-functional",-6.34887214,35.21765356,"Singida","vwc","enough"
32432,"functional",-5.79514755,35.05092976,"Singida","vwc","enough"
73636,"non-functional",-5.950235,34.94733601,"Singida","vwc","enough"
37408,"functional",-5.79770385,35.05535012,"Singida","vwc","enough"
73090,"non-functional",-6.3506321,35.21527251,"Singida","vwc","enough"
13091,"functional",-5.80166748,35.05337577,"Singida","vwc","enough"
71559,"non-functional",-6.36515855,35.20559838,"Singida","vwc","enough"
42990,"non-functional",-5.79425032,35.04911644,"Singida","vwc","enough"
72988,"non-functional",-6.35266407,35.2142751,"Singida","vwc","enough"
38325,"non-functional",-5.80006152,35.04741986,"Singida","vwc","enough"
56029,"non-functional",-5.79595624,35.05257474,"Singida","vwc","enough"
41236,"non-functional",-6.36898685,35.20027377,"Singida","vwc","enough"
14130,"non-functional",-6.35440541,35.21525222,"Singida","vwc","enough"
29826,"non-functional",-5.93940844,34.94208025,"Singida","vwc","enough"
35827,"non-functional",-5.94090687,34.94671249,"Singida","vwc","enough"
58221,"non-functional",-6.36837399,35.20251626,"Singida","vwc","enough"
906,"non-functional",-6.35942083,35.21025807,"Singida","vwc","enough"
63900,"non-functional",-6.37125397,35.20071032,"Singida","vwc","enough"
30789,"non-functional",-5.6805043,35.32729246,"Singida","vwc","enough"
38459,"non-functional",-5.94003047,34.94801414,"Singida","vwc","enough"
67977,"non-functional",-5.6825966,35.32419263,"Singida","vwc","enough"
55352,"non-functional",-5.67000924,35.34476011,"Singida","vwc","enough"
27630,"non-functional",-6.37127958,35.20073737,"Singida","vwc","enough"
26918,"functional",-5.79765743,35.04832632,"Singida","vwc","enough"
28668,"non-functional",-5.99625954,34.9386186,"Singida","vwc","enough"
59995,"non-functional",-5.9916952,34.94031186,"Singida","vwc","enough"
32053,"non-functional",-6.00259494,34.93461137,"Singida","vwc","enough"
5348,"non-functional",-6.0052901,34.93539359,"Singida","vwc","enough"
69473,"non-functional",-6.0018536,34.93646675,"Singida","vwc","enough"
54689,"non-functional",-6.00323226,34.9330057,"Singida","vwc","enough"
45905,"non-functional",-5.11953066,33.98103967,"Singida","vwc","dry"
21505,"functional",-5.00632618,34.01453687,"Singida","vwc","insufficient"
27815,"functional",-5.00741485,34.01043613,"Singida","vwc","insufficient"
147,"non-functional",-4.09095092,34.33027403,"Singida","vwc","insufficient"
31373,"non-functional",-5.1193162,33.98129379,"Singida","vwc","dry"
35124,"functional",-4.92359378,34.00910609,"Singida","vwc","insufficient"
11184,"functional",-5.14681033,34.03993717,"Singida","vwc","insufficient"
3685,"functional",-5.15024872,34.04030097,"Singida","vwc","insufficient"
53129,"functional-needs-repair",-4.01707814,34.50893854,"Singida","parastatal","seasonal"
9488,"functional",-4.04856551,34.45215966,"Singida","parastatal","seasonal"
36429,"functional",-4.19576308,34.22114222,"Singida","wua","enough"
17872,"functional",-3.9822196,34.55058128,"Singida","parastatal","seasonal"
11638,"functional",-4.19893628,34.22249843,"Singida","vwc","enough"
36033,"functional",-4.20802707,34.22719499,"Singida","wua","enough"
9874,"functional",-4.21202804,34.22859946,"Singida","wua","enough"
54180,"functional",-4.35128955,34.19776672,"Singida","wua","enough"
2893,"functional",-4.34548997,34.17899076,"Singida","wua","enough"
