"id","status_group","latitude","longitude","region","management","quantity"
23573,"functional",-4.09665767,33.24992199,"Tabora","vwc","enough"
34181,"functional",-4.69637408,33.39834867,"Tabora","vwc","enough"
35276,"non-functional",-4.08357568,32.90698122,"Tabora","vwc","enough"
37526,"non-functional",-4.01868343,33.0927756,"Tabora","vwc","insufficient"
44019,"functional",-4.63957274,33.33732344,"Tabora","vwc","seasonal"
46026,"functional",-4.06537135,33.08120437,"Tabora","vwc","insufficient"
53684,"non-functional",-4.01528206,33.09677387,"Tabora","vwc","insufficient"
62950,"functional",-4.05727517,33.02831383,"Tabora","vwc","enough"
71511,"functional",-4.69304885,33.30945458,"Tabora","vwc","enough"
5435,"functional",-4.10986456,33.04182248,"Tabora","vwc","enough"
6100,"functional",-4.09714751,33.09310178,"Tabora","vwc","enough"
24568,"non-functional",-4.10102759,33.03522369,"Tabora","vwc","insufficient"
26714,"functional",-4.08740575,33.03813013,"Tabora","vwc","enough"
44612,"functional",-4.0613356,33.07189548,"Tabora","vwc","enough"
86,"functional",-3.94064223,32.86307623,"Tabora","vwc","enough"
311,"functional",-4.11248241,32.98389791,"Tabora","vwc","insufficient"
10589,"non-functional",-4.11876818,32.91193291,"Tabora","wug","seasonal"
11570,"non-functional",-4.04968477,33.21009759,"Tabora","vwc","enough"
16395,"non-functional",-3.99753218,32.8557103,"Tabora","vwc","enough"
18613,"non-functional",-4.08797248,32.8899867,"Tabora","wug","insufficient"
19367,"functional",-4.12146274,32.96968237,"Tabora","wug","enough"
20083,"functional",-3.94721971,32.85119765,"Tabora","vwc","enough"
24758,"functional",-4.13924482,32.98113404,"Tabora","vwc","insufficient"
25113,"non-functional",-4.09590175,33.01258234,"Tabora","vwc","seasonal"
26208,"functional",-4.00025084,33.21095909,"Tabora","vwc","enough"
27087,"non-functional",-4.0856073,32.88589062,"Tabora","wug","insufficient"
30091,"non-functional",-4.08098724,32.97839103,"Tabora","vwc","seasonal"
30806,"functional-needs-repair",-4.0800995,32.9997373,"Tabora","vwc","enough"
31577,"functional",-3.95523871,32.86791731,"Tabora","vwc","enough"
31844,"non-functional",-4.12713325,32.99082963,"Tabora","vwc","seasonal"
33687,"non-functional",-4.02318874,33.21758451,"Tabora","vwc","enough"
35210,"functional",-4.13679092,32.98434194,"Tabora","vwc","enough"
35298,"non-functional",-4.1142614,33.00630947,"Tabora","vwc","insufficient"
36606,"functional",-4.09027976,32.89593321,"Tabora","wug","enough"
37487,"functional",-4.07678244,32.99315757,"Tabora","vwc","enough"
38390,"functional",-4.1655019,32.97511044,"Tabora","wug","enough"
39680,"functional",-4.1720607,32.95403645,"Tabora","vwc","insufficient"
40202,"non-functional",-3.91496102,32.87025286,"Tabora","vwc","enough"
41713,"functional",-4.01772041,33.20423606,"Tabora","vwc","enough"
43061,"non-functional",-4.09897581,32.97389168,"Tabora","vwc","seasonal"
45071,"functional",-4.01130049,32.8559349,"Tabora","vwc","enough"
45539,"functional",-4.13517618,32.96521413,"Tabora","wug","enough"
46137,"functional",-4.05446463,33.19777589,"Tabora","vwc","enough"
46989,"non-functional",-4.02882021,33.2154417,"Tabora","vwc","enough"
47668,"functional",-3.96551939,33.21080171,"Tabora","vwc","enough"
49561,"non-functional",-4.10060047,32.89365225,"Tabora","wug","seasonal"
50780,"non-functional",-3.94088141,32.85175162,"Tabora","vwc","enough"
50937,"functional",-4.17808176,32.96596606,"Tabora","wug","enough"
51707,"functional",-4.10491613,33.00089645,"Tabora","vwc","enough"
53143,"functional",-4.09158899,33.00794736,"Tabora","vwc","enough"
54149,"non-functional",-4.22575591,32.99945777,"Tabora","vwc","enough"
55360,"non-functional",-4.13213462,32.97544032,"Tabora","vwc","enough"
56693,"non-functional",-3.94993898,32.86954956,"Tabora","vwc","enough"
59462,"functional",-4.18051552,32.9570271,"Tabora","wug","enough"
61950,"functional",-4.05405937,33.19271452,"Tabora","vwc","enough"
62106,"functional",-4.14340622,32.96903647,"Tabora","wug","enough"
63195,"functional",-4.12899536,32.98770855,"Tabora","wug","enough"
64915,"non-functional",-4.09212846,32.97620903,"Tabora","vwc","seasonal"
65111,"non-functional",-4.05508277,33.20008677,"Tabora","vwc","enough"
66238,"non-functional",-4.15007,32.9682457,"Tabora","vwc","seasonal"
66820,"non-functional",-4.13705761,32.97539406,"Tabora","vwc","dry"
