"id","status_group","latitude","longitude","region","management","quantity"
22546,"functional",-5.6327237,38.90146433,"Tanga","vwc","enough"
38327,"functional",-5.63234294,38.9001997,"Tanga","vwc","enough"
62288,"non-functional",-5.41634975,38.97776809,"Tanga","vwc","insufficient"
39639,"non-functional",-5.6327328,38.90146408,"Tanga","vwc","insufficient"
53888,"functional",-5.29390892,39.06091472,"Tanga","vwc","insufficient"
54783,"functional",-5.29339169,39.05776039,"Tanga","vwc","insufficient"
20152,"non-functional",-5.42386316,38.97492181,"Tanga","private operator","insufficient"
46552,"non-functional",-5.42448849,38.97636269,"Tanga","private operator","insufficient"
23345,"non-functional",-5.62998766,38.91406193,"Tanga","private operator","insufficient"
66757,"non-functional",-5.42541158,38.97223195,"Tanga","vwc","insufficient"
335,"non-functional",-5.42295094,38.9783974,"Tanga","private operator","insufficient"
52624,"non-functional",-5.28876402,39.06332647,"Tanga","vwc","insufficient"
32290,"non-functional",-5.4125948,38.97975243,"Tanga","private operator","insufficient"
36806,"functional",-5.29440794,39.05974114,"Tanga","vwc","insufficient"
36123,"functional",-5.29033466,39.05741258,"Tanga","vwc","insufficient"
48331,"functional-needs-repair",-5.4221616,38.97914752,"Tanga","private operator","enough"
55797,"functional",-5.29293423,39.05749288,"Tanga","vwc","insufficient"
14538,"functional",-5.42483775,38.97776222,"Tanga","private operator","enough"
69716,"functional",-5.29160195,39.05783743,"Tanga","vwc","insufficient"
16290,"functional",-5.29364858,39.0568723,"Tanga","vwc","insufficient"
71055,"non-functional",-5.42500095,38.97669758,"Tanga","water authority","insufficient"
54109,"functional",-5.29323398,39.06119995,"Tanga","vwc","insufficient"
52137,"non-functional",-5.42602567,38.97759446,"Tanga","private operator","insufficient"
21414,"non-functional",-5.78332389,38.8513695,"Tanga","private operator","insufficient"
2259,"non-functional",-5.42367149,38.97733184,"Tanga","water authority","insufficient"
40377,"functional",-5.29026942,39.06275647,"Tanga","vwc","insufficient"
23976,"functional",-5.29294625,39.05846426,"Tanga","vwc","insufficient"
983,"functional",-5.29166965,39.06056206,"Tanga","vwc","insufficient"
9457,"non-functional",-5.62735892,38.8827049,"Tanga","vwc","insufficient"
17375,"non-functional",-5.42478106,38.97855492,"Tanga","private operator","insufficient"
63956,"non-functional",-5.42390123,38.97709147,"Tanga","private operator","insufficient"
63945,"functional",-5.29422473,39.06091378,"Tanga","vwc","insufficient"
3373,"non-functional",-5.42151954,38.97298336,"Tanga","vwc","insufficient"
40496,"non-functional",-5.41888021,38.98244969,"Tanga","private operator","insufficient"
62152,"non-functional",-5.42666436,38.9784401,"Tanga","vwc","insufficient"
72202,"non-functional",-5.52474045,38.97278019,"Tanga","private operator","insufficient"
19306,"non-functional",-5.42334625,38.97857669,"Tanga","private operator","insufficient"
51045,"non-functional",-5.42462936,38.9781019,"Tanga","private operator","insufficient"
26370,"functional",-5.28977328,39.0627248,"Tanga","vwc","insufficient"
48932,"non-functional",-5.62658487,38.91581022,"Tanga","private operator","enough"
48894,"non-functional",-5.42332551,38.97519821,"Tanga","private operator","insufficient"
22894,"non-functional",-5.41975485,38.97238618,"Tanga","private operator","insufficient"
4120,"non-functional",-5.42387123,38.97496296,"Tanga","private operator","enough"
70109,"non-functional",-5.96019818,38.79956674,"Tanga","vwc","enough"
25458,"non-functional",-5.42604502,38.98035471,"Tanga","vwc","insufficient"
12014,"non-functional",-5.78469652,38.85135554,"Tanga","vwc","insufficient"
73279,"non-functional",-5.42482453,38.97780375,"Tanga","vwc","insufficient"
14136,"non-functional",-5.52475653,38.97210866,"Tanga","vwc","insufficient"
57589,"non-functional",-5.42343021,38.97284311,"Tanga","vwc","insufficient"
45703,"non-functional",-5.42372508,38.97709422,"Tanga","vwc","insufficient"
51717,"non-functional",-5.42706707,38.97749425,"Tanga","vwc","insufficient"
68479,"functional",-5.29490651,39.06043906,"Tanga","vwc","insufficient"
64125,"functional",-5.29114173,39.06096533,"Tanga","vwc","insufficient"
67300,"non-functional",-5.42511753,38.97675086,"Tanga","water authority","insufficient"
50861,"non-functional",-5.42203567,38.97917831,"Tanga","private operator","insufficient"
8331,"non-functional",-5.67875028,38.88862322,"Tanga","vwc","insufficient"
16676,"non-functional",-5.5244506,38.97167465,"Tanga","vwc","insufficient"
17445,"functional",-5.30725432,39.02923342,"Tanga","vwc","insufficient"
17565,"non-functional",-5.54545234,38.96607346,"Tanga","vwc","insufficient"
42783,"non-functional",-5.78436643,38.85170744,"Tanga","vwc","insufficient"
65256,"non-functional",-5.41111435,38.89323744,"Tanga","vwc","enough"
19321,"functional",-5.29195863,39.05957651,"Tanga","vwc","enough"
32373,"non-functional",-5.42419959,38.97731093,"Tanga","private operator","insufficient"
45634,"non-functional",-5.41982828,38.974788,"Tanga","private operator","dry"
7905,"non-functional",-5.55698437,38.96134738,"Tanga","private operator","insufficient"
4302,"non-functional",-5.62949041,38.91351067,"Tanga","vwc","insufficient"
38416,"non-functional",-5.41879187,38.97282591,"Tanga","private operator","insufficient"
70275,"non-functional",-5.42064336,38.98334735,"Tanga","vwc","dry"
3638,"non-functional",-5.92582621,38.8175982,"Tanga","vwc","insufficient"
34447,"non-functional",-5.9214887,38.81728283,"Tanga","vwc","insufficient"
60425,"non-functional",-5.41949177,38.97114261,"Tanga","private operator","insufficient"
60747,"non-functional",-5.7832471,38.85187604,"Tanga","vwc","enough"
59838,"functional",-5.27859814,39.05125964,"Tanga","vwc","insufficient"
20988,"non-functional",-5.57695297,38.9417939,"Tanga","vwc","enough"
40880,"non-functional",-5.37993445,38.94668504,"Tanga","vwc","insufficient"
28696,"non-functional",-5.95947609,38.79985931,"Tanga","vwc","enough"
27584,"non-functional",-5.73176699,38.88157912,"Tanga","vwc","dry"
40072,"non-functional",-5.74891797,38.86905601,"Tanga","private operator","insufficient"
60745,"non-functional",-5.54775716,38.96706017,"Tanga","vwc","insufficient"
11658,"non-functional",-5.78314553,38.85094114,"Tanga","vwc","insufficient"
69822,"non-functional",-5.4259901,38.97372505,"Tanga","private operator","insufficient"
60728,"functional",-5.29219282,39.06075926,"Tanga","vwc","insufficient"
37674,"non-functional",-5.42119875,38.97633038,"Tanga","private operator","dry"
29779,"non-functional",-5.54418263,38.9667074,"Tanga","private operator","insufficient"
25516,"non-functional",-5.42253924,38.97927123,"Tanga","private operator","insufficient"
10266,"non-functional",-5.41657309,38.97338594,"Tanga","private operator","insufficient"
44765,"non-functional",-5.42468684,38.97360423,"Tanga","private operator","insufficient"
12376,"non-functional",-5.37926436,38.8848429,"Tanga","vwc","insufficient"
54273,"non-functional",-5.41735391,38.97765275,"Tanga","private operator","insufficient"
41500,"functional",-5.2954678,39.0595976,"Tanga","vwc","insufficient"
2598,"non-functional",-5.4301503,38.97358954,"Tanga","vwc","insufficient"
38954,"non-functional",-5.42312635,38.97690955,"Tanga","private operator","insufficient"
