"region","functional","functional-needs-repair","non-functional"
"Arusha",2878,195,1038
"Dar-Es-Salaam",599,3,418
"Dodoma",1306,239,1234
"Iringa",5226,128,1245
"Kagera",2233,337,1604
"Kigoma",1770,710,1053
"Kilimanjaro",3377,370,1747
"Lindi",581,109,1230
"Manyara",1267,103,602
"Mara",1120,65,1266
"Mbeya",2975,587,2196
"Morogoro",2749,333,1956
"Mtwara",657,140,1347
"Mwanza",1913,209,1775
"Pwani",2015,37,1279
"Rukwa",909,146,1187
"Ruvuma",1887,188,1231
"Shinyanga",3556,772,1965
"Singida",1232,143,1161
"Tabora",1073,50,1343
"Tanga",1846,78,1262
